
time,ax,ay,az,wx,wy,wz,
0.002,-0.96,-1.35,1.95,-0.66,-0.13,0.34,
0.003,-1.22,-1.35,2.12,-0.66,-0.13,0.34,
0.004,-1.41,-1.44,2.25,-0.66,-0.13,0.34,
0.004,-1.41,-1.44,2.25,-0.71,-0.17,0.33,
0.01,-1.62,-1.60,2.57,-0.71,-0.17,0.33,
0.01,-1.62,-1.60,2.57,-0.77,-0.19,0.32,
0.013,-1.74,-1.68,3.21,-0.77,-0.19,0.32,
0.014,-1.74,-1.68,3.21,-0.83,-0.19,0.33,
0.018,-1.14,-1.59,3.77,-0.83,-0.19,0.33,
0.019,-1.14,-1.59,3.77,-0.88,-0.17,0.34,
0.023,-0.26,-1.53,4.25,-0.88,-0.17,0.34,
0.024,-0.26,-1.53,4.25,-0.91,-0.13,0.34,
0.028,-0.26,-1.53,4.25,-0.92,-0.07,0.30,
0.029,0.04,-1.57,4.71,-0.92,-0.07,0.30,
0.033,0.04,-1.57,4.71,-0.91,0.02,0.24,
0.033,-0.25,-1.57,4.85,-0.91,0.02,0.24,
0.038,-0.25,-1.57,4.85,-0.90,0.12,0.19,
0.038,-0.91,-1.67,4.65,-0.90,0.12,0.19,
0.048,-0.91,-1.67,4.65,-0.91,0.23,0.18,
0.049,-1.36,-1.81,4.32,-0.91,0.23,0.18,
0.049,-1.36,-1.81,4.32,-0.95,0.32,0.18,
0.05,-1.43,-1.98,4.07,-0.95,0.32,0.18,
0.052,-1.43,-1.98,4.07,-1.01,0.44,0.20,
0.053,-1.37,-2.22,4.03,-1.01,0.44,0.20,
0.058,-1.47,-2.46,4.26,-1.01,0.44,0.20,
0.059,-1.47,-2.46,4.26,-1.09,0.56,0.22,
0.062,-1.47,-2.46,4.26,-1.16,0.69,0.24,
0.063,-1.49,-2.55,4.69,-1.16,0.69,0.24,
0.067,-1.49,-2.55,4.69,-1.21,0.80,0.26,
0.067,-1.44,-2.49,5.18,-1.21,0.80,0.26,
0.072,-1.44,-2.49,5.18,-1.23,0.87,0.28,
0.073,-1.43,-2.43,5.58,-1.23,0.87,0.28,
0.082,-1.28,-2.40,5.88,-1.23,0.87,0.28,
0.083,-1.28,-2.40,5.88,-1.23,0.91,0.30,
0.084,-1.14,-2.49,6.10,-1.23,0.91,0.30,
0.084,-1.14,-2.49,6.10,-1.22,0.93,0.31,
0.087,-1.14,-2.49,6.10,-1.19,0.93,0.32,
0.087,-0.95,-2.59,6.20,-1.19,0.93,0.32,
0.091,-0.73,-2.62,6.24,-1.19,0.93,0.32,
0.092,-0.73,-2.62,6.24,-1.17,0.92,0.32,
0.096,-0.73,-2.62,6.24,-1.14,0.90,0.32,
0.097,-0.48,-2.61,6.21,-1.14,0.90,0.32,
0.101,-0.48,-2.61,6.21,-1.12,0.89,0.31,
0.101,-0.24,-2.57,6.14,-1.12,0.89,0.31,
0.107,-0.05,-2.50,6.05,-1.12,0.89,0.31,
0.108,-0.05,-2.50,6.05,-1.11,0.86,0.29,
0.111,0.11,-2.48,5.96,-1.11,0.86,0.29,
0.111,0.11,-2.48,5.96,-1.10,0.85,0.28,
0.121,0.34,-2.50,5.76,-1.10,0.85,0.28,
0.121,0.34,-2.50,5.76,-1.11,0.83,0.25,
0.121,0.34,-2.50,5.76,-1.12,0.82,0.22,
0.122,0.66,-2.51,5.60,-1.12,0.82,0.22,
0.125,0.66,-2.51,5.60,-1.16,0.83,0.19,
0.126,0.92,-2.48,5.41,-1.16,0.83,0.19,
0.13,0.92,-2.48,5.41,-1.21,0.86,0.15,
0.131,1.16,-2.52,5.22,-1.21,0.86,0.15,
0.135,1.16,-2.52,5.22,-1.27,0.91,0.11,
0.135,1.21,-2.54,5.06,-1.27,0.91,0.11,
0.149,1.20,-2.60,4.92,-1.27,0.91,0.11,
0.15,1.20,-2.60,4.92,-1.35,0.97,0.08,
0.15,1.19,-2.67,4.93,-1.35,0.97,0.08,
0.151,1.19,-2.67,4.93,-1.45,1.03,0.05,
0.151,1.19,-2.67,4.93,-1.55,1.10,0.03,
0.152,1.20,-2.74,5.03,-1.55,1.10,0.03,
0.155,1.33,-2.81,5.12,-1.55,1.10,0.03,
0.156,1.33,-2.81,5.12,-1.65,1.16,0.00,
0.16,1.50,-2.92,5.22,-1.65,1.16,0.00,
0.16,1.50,-2.92,5.22,-1.74,1.21,-0.02,
0.164,1.62,-3.01,5.33,-1.74,1.21,-0.02,
0.165,1.62,-3.01,5.33,-1.84,1.26,-0.03,
0.169,1.78,-3.11,5.41,-1.84,1.26,-0.03,
0.17,1.78,-3.11,5.41,-1.93,1.33,-0.06,
0.184,1.90,-3.17,5.61,-1.93,1.33,-0.06,
0.185,1.90,-3.17,5.61,-2.03,1.41,-0.08,
0.185,1.98,-3.19,5.93,-2.03,1.41,-0.08,
0.185,1.98,-3.19,5.93,-2.11,1.50,-0.10,
0.186,2.05,-3.25,6.35,-2.11,1.50,-0.10,
0.186,2.05,-3.25,6.35,-2.19,1.58,-0.12,
0.191,2.18,-3.33,6.72,-2.19,1.58,-0.12,
0.191,2.18,-3.33,6.72,-2.24,1.64,-0.15,
0.194,2.18,-3.33,6.72,-2.27,1.68,-0.17,
0.195,2.28,-3.48,7.12,-2.27,1.68,-0.17,
0.199,2.28,-3.48,7.12,-2.28,1.70,-0.19,
0.199,2.35,-3.68,7.46,-2.28,1.70,-0.19,
0.203,2.35,-3.68,7.46,-2.25,1.69,-0.21,
0.204,2.42,-3.82,7.68,-2.25,1.69,-0.21,
0.208,2.42,-3.82,7.68,-2.20,1.65,-0.23,
0.209,2.35,-3.92,7.83,-2.20,1.65,-0.23,
0.213,2.35,-3.92,7.83,-2.14,1.57,-0.24,
0.214,2.25,-4.02,7.84,-2.14,1.57,-0.24,
0.218,2.25,-4.02,7.84,-2.06,1.43,-0.24,
0.219,2.14,-4.14,7.78,-2.06,1.43,-0.24,
0.224,2.03,-4.28,7.61,-2.06,1.43,-0.24,
0.226,2.03,-4.28,7.61,-1.97,1.24,-0.23,
0.228,2.03,-4.28,7.61,-1.87,1.00,-0.21,
0.229,1.88,-4.50,7.45,-1.87,1.00,-0.21,
0.233,1.85,-4.63,7.25,-1.87,1.00,-0.21,
0.234,1.85,-4.63,7.25,-1.78,0.73,-0.17,
0.238,1.95,-4.69,6.98,-1.78,0.73,-0.17,
0.239,1.95,-4.69,6.98,-1.69,0.42,-0.12,
0.243,1.95,-4.69,6.98,-1.62,0.12,-0.07,
0.244,2.16,-4.83,6.80,-1.62,0.12,-0.07,
0.248,2.16,-4.83,6.80,-1.57,-0.16,-0.01,
0.249,2.62,-5.03,6.66,-1.57,-0.16,-0.01,
0.253,2.62,-5.03,6.66,-1.53,-0.41,0.04,
0.253,3.17,-5.23,6.67,-1.53,-0.41,0.04,
0.268,3.17,-5.23,6.67,-1.51,-0.62,0.10,
0.269,3.59,-5.37,6.70,-1.51,-0.62,0.10,
0.27,4.08,-5.48,6.84,-1.51,-0.62,0.10,
0.271,4.08,-5.48,6.84,-1.51,-0.75,0.14,
0.271,4.47,-5.56,6.90,-1.51,-0.75,0.14,
0.272,4.47,-5.56,6.90,-1.52,-0.82,0.18,
0.273,4.47,-5.56,6.90,-1.54,-0.84,0.22,
0.273,4.79,-5.70,6.95,-1.54,-0.84,0.22,
0.301,5.15,-5.91,6.97,-1.54,-0.84,0.22,
0.302,5.15,-5.91,6.97,-1.56,-0.82,0.25,
0.303,5.37,-6.23,7.01,-1.56,-0.82,0.25,
0.303,5.37,-6.23,7.01,-1.59,-0.77,0.29,
0.304,5.37,-6.23,7.01,-1.63,-0.68,0.33,
0.304,5.48,-6.51,7.08,-1.63,-0.68,0.33,
0.305,5.48,-6.51,7.08,-1.66,-0.57,0.36,
0.305,5.45,-6.81,7.08,-1.66,-0.57,0.36,
0.306,5.45,-6.81,7.08,-1.70,-0.47,0.41,
0.306,5.37,-7.15,7.00,-1.70,-0.47,0.41,
0.307,5.37,-7.15,7.00,-1.73,-0.39,0.47,
0.307,5.42,-7.53,6.76,-1.73,-0.39,0.47,
