
time,ax,ay,az,wx,wy,wz,
0.004,-1.74,0.73,0.32,-0.27,0.60,0.31,
0.004,-1.74,0.73,0.32,-0.23,0.61,0.36,
0.004,-1.74,0.73,0.32,-0.20,0.62,0.41,
0.005,-1.82,0.74,0.08,-0.20,0.62,0.41,
0.005,-1.90,0.74,-0.18,-0.20,0.62,0.41,
0.005,-1.90,0.74,-0.18,-0.19,0.63,0.47,
0.006,-1.92,0.67,-0.39,-0.19,0.63,0.47,
0.006,-1.92,0.67,-0.39,-0.19,0.62,0.53,
0.009,-1.82,0.62,-0.57,-0.19,0.62,0.53,
0.009,-1.82,0.62,-0.57,-0.21,0.61,0.59,
0.012,-1.82,0.62,-0.57,-0.24,0.61,0.64,
0.013,-1.66,0.48,-0.71,-0.24,0.61,0.64,
0.017,-1.66,0.48,-0.71,-0.27,0.61,0.68,
0.018,-1.45,0.37,-0.54,-0.27,0.61,0.68,
0.022,-1.45,0.37,-0.54,-0.29,0.62,0.71,
0.023,-1.36,0.26,-0.31,-0.29,0.62,0.71,
0.027,-1.36,0.26,-0.31,-0.31,0.62,0.73,
0.027,-1.32,0.20,-0.22,-0.31,0.62,0.73,
0.032,-1.24,0.17,-0.31,-0.31,0.62,0.73,
0.033,-1.24,0.17,-0.31,-0.31,0.61,0.75,
0.037,-1.24,0.17,-0.31,-0.32,0.59,0.76,
0.038,-1.12,0.13,-0.43,-0.32,0.59,0.76,
0.042,-1.12,0.13,-0.43,-0.34,0.57,0.76,
0.042,-0.93,0.08,-0.63,-0.34,0.57,0.76,
0.051,-0.93,0.08,-0.63,-0.37,0.57,0.75,
0.052,-0.80,0.08,-0.86,-0.37,0.57,0.75,
0.052,-0.80,0.08,-0.86,-0.41,0.57,0.73,
0.053,-0.71,0.06,-1.07,-0.41,0.57,0.73,
0.056,-0.50,0.05,-1.17,-0.41,0.57,0.73,
0.056,-0.50,0.05,-1.17,-0.46,0.58,0.71,
0.061,-0.50,0.05,-1.17,-0.51,0.60,0.68,
0.061,-0.38,0.02,-1.09,-0.51,0.60,0.68,
0.073,-0.34,0.03,-0.87,-0.51,0.60,0.68,
0.074,-0.34,0.03,-0.87,-0.55,0.61,0.65,
0.074,-0.34,0.03,-0.87,-0.58,0.61,0.61,
0.074,-0.40,0.04,-0.66,-0.58,0.61,0.61,
0.075,-0.40,0.04,-0.66,-0.60,0.61,0.58,
0.076,-0.40,0.04,-0.37,-0.60,0.61,0.58,
0.084,-0.40,0.04,-0.37,-0.61,0.62,0.55,
0.085,-0.34,0.08,0.01,-0.61,0.62,0.55,
0.086,-0.34,0.08,0.01,-0.59,0.63,0.52,
0.086,-0.40,0.18,0.28,-0.59,0.63,0.52,
0.09,-0.48,0.33,0.44,-0.59,0.63,0.52,
0.091,-0.48,0.33,0.44,-0.55,0.62,0.50,
0.095,-0.48,0.33,0.44,-0.51,0.61,0.49,
0.095,-0.70,0.58,0.50,-0.51,0.61,0.49,
0.1,-0.70,0.58,0.50,-0.47,0.60,0.50,
0.101,-1.06,0.90,0.44,-0.47,0.60,0.50,
0.105,-1.46,1.22,0.27,-0.47,0.60,0.50,
0.105,-1.46,1.22,0.27,-0.43,0.58,0.53,
0.11,-1.93,1.61,0.08,-0.43,0.58,0.53,
0.11,-1.93,1.61,0.08,-0.41,0.54,0.59,
0.115,-1.93,1.61,0.08,-0.40,0.49,0.69,
0.116,-2.36,1.91,-0.09,-0.40,0.49,0.69,
0.12,-2.36,1.91,-0.09,-0.41,0.41,0.82,
0.12,-2.76,2.13,-0.30,-0.41,0.41,0.82,
0.124,-2.76,2.13,-0.30,-0.42,0.31,0.98,
0.125,-3.10,2.07,-0.57,-0.42,0.31,0.98,
0.129,-3.10,2.07,-0.57,-0.46,0.21,1.16,
0.129,-2.96,1.27,-1.23,-0.46,0.21,1.16,
0.134,-2.96,1.27,-1.23,-0.51,0.15,1.32,
0.135,-2.97,1.00,-1.66,-0.51,0.15,1.32,
0.139,-2.97,1.00,-1.66,-0.59,0.14,1.46,
0.14,-2.90,1.08,-1.59,-0.59,0.14,1.46,
0.144,-2.50,0.97,-1.83,-0.59,0.14,1.46,
0.145,-2.50,0.97,-1.83,-0.68,0.10,1.60,
0.157,-2.50,0.97,-1.83,-0.77,0.10,1.73,
0.158,-2.02,0.80,-2.40,-0.77,0.10,1.73,
0.158,-2.02,0.80,-2.40,-0.88,0.12,1.82,
0.159,-1.62,0.56,-2.75,-0.88,0.12,1.82,
0.159,-1.10,0.31,-3.09,-0.88,0.12,1.82,
0.159,-1.10,0.31,-3.09,-1.01,0.12,1.88,
0.165,-1.10,0.31,-3.09,-1.14,0.15,1.89,
0.166,-0.52,0.01,-3.40,-1.14,0.15,1.89,
0.168,-0.52,0.01,-3.40,-1.27,0.23,1.88,
0.169,0.04,-0.30,-3.35,-1.27,0.23,1.88,
0.173,0.04,-0.30,-3.35,-1.40,0.37,1.82,
0.173,0.52,-0.61,-2.62,-1.40,0.37,1.82,
0.178,0.52,-0.61,-2.62,-1.45,0.44,1.78,
0.179,0.32,-1.26,-0.40,-1.45,0.44,1.78,
0.192,1.03,-0.89,1.26,-1.45,0.44,1.78,
0.193,1.03,-0.89,1.26,-1.34,0.40,1.79,
0.194,1.03,-0.89,1.26,-1.18,0.55,1.79,
0.194,1.59,-0.28,2.39,-1.18,0.55,1.79,
0.194,2.14,0.04,2.98,-1.18,0.55,1.79,
0.195,2.14,0.04,2.98,-1.06,0.86,1.77,
0.2,2.14,0.04,2.98,-0.94,1.28,1.72,
0.201,2.68,0.17,2.75,-0.94,1.28,1.72,
0.202,2.68,0.17,2.75,-0.85,1.69,1.63,
0.203,3.10,0.05,2.00,-0.85,1.69,1.63,
0.207,3.10,0.05,2.00,-0.79,1.98,1.52,
0.208,3.45,-0.15,1.29,-0.79,1.98,1.52,
0.212,3.66,-0.33,0.84,-0.79,1.98,1.52,
0.212,3.66,-0.33,0.84,-0.76,2.18,1.36,
0.217,2.97,-0.46,0.08,-0.76,2.18,1.36,
0.218,2.97,-0.46,0.08,-0.76,2.30,1.18,
0.222,1.63,-0.12,-0.60,-0.76,2.30,1.18,
0.222,1.63,-0.12,-0.60,-0.78,2.47,0.98,
0.227,0.49,0.64,-0.52,-0.78,2.47,0.98,
0.227,0.49,0.64,-0.52,-0.80,2.73,0.84,
0.275,-0.63,1.37,-0.27,-0.80,2.73,0.84,
0.276,-0.63,1.37,-0.27,-0.85,2.74,0.78,
0.276,-0.63,1.37,-0.27,-0.94,2.50,0.80,
0.277,-1.51,1.88,0.03,-0.94,2.50,0.80,
0.278,-2.27,2.14,-0.27,-0.94,2.50,0.80,
0.278,-2.27,2.14,-0.27,-1.02,2.25,0.87,
0.279,-2.74,2.16,-0.55,-1.02,2.25,0.87,
0.279,-2.74,2.16,-0.55,-1.12,2.01,0.97,
0.28,-2.74,2.16,-0.55,-1.25,1.75,1.09,
0.282,-2.53,1.97,-0.73,-1.25,1.75,1.09,
0.283,-2.53,1.97,-0.73,-1.38,1.48,1.20,
0.283,-2.51,1.86,-0.49,-1.38,1.48,1.20,
0.284,-2.51,1.86,-0.49,-1.51,1.27,1.27,
0.285,-2.67,1.71,-0.10,-1.51,1.27,1.27,
0.285,-2.67,1.71,-0.10,-1.66,1.19,1.30,
0.286,-2.88,1.60,0.04,-1.66,1.19,1.30,
0.287,-2.88,1.60,0.04,-1.80,1.21,1.29,
0.287,-3.04,1.38,-0.06,-1.80,1.21,1.29,
0.288,-2.93,1.05,-0.31,-1.80,1.21,1.29,
0.289,-2.93,1.05,-0.31,-1.96,1.31,1.24,
0.289,-2.93,1.05,-0.31,-2.12,1.46,1.15,
0.29,-2.56,0.76,-0.49,-2.12,1.46,1.15,
0.29,-2.56,0.76,-0.49,-2.28,1.63,1.01,
0.291,-1.87,0.13,-0.61,-2.28,1.63,1.01,
0.291,-1.34,-0.20,-0.21,-2.28,1.63,1.01,
0.292,-1.34,-0.20,-0.21,-2.45,1.68,0.87,
