
time,ax,ay,az,wx,wy,wz,
0.001,-0.37,0.37,-1.05,-0.33,-0.56,0.20,
0.002,-0.27,0.34,-0.81,-0.33,-0.56,0.20,
0.002,-0.27,0.34,-0.81,-0.36,-0.57,0.20,
0.003,-0.05,0.37,-0.51,-0.36,-0.57,0.20,
0.003,-0.05,0.37,-0.51,-0.38,-0.58,0.19,
0.004,0.29,0.48,-0.25,-0.38,-0.58,0.19,
0.008,0.29,0.48,-0.25,-0.38,-0.59,0.16,
0.008,0.32,0.50,-0.08,-0.38,-0.59,0.16,
0.013,0.09,0.48,0.01,-0.38,-0.59,0.16,
0.014,0.09,0.48,0.01,-0.38,-0.60,0.12,
0.017,0.09,0.48,0.01,-0.38,-0.62,0.09,
0.018,-0.11,0.46,0.09,-0.38,-0.62,0.09,
0.023,-0.25,0.35,0.19,-0.38,-0.62,0.09,
0.024,-0.25,0.35,0.19,-0.37,-0.63,0.07,
0.027,-0.39,0.25,0.30,-0.37,-0.63,0.07,
0.028,-0.39,0.25,0.30,-0.36,-0.64,0.07,
0.032,-0.44,0.12,0.45,-0.36,-0.64,0.07,
0.033,-0.44,0.12,0.45,-0.35,-0.64,0.06,
0.037,-0.52,0.02,0.56,-0.35,-0.64,0.06,
0.038,-0.52,0.02,0.56,-0.33,-0.65,0.06,
0.051,-0.67,-0.08,0.63,-0.33,-0.65,0.06,
0.052,-0.67,-0.08,0.63,-0.30,-0.66,0.07,
0.052,-0.82,-0.16,0.68,-0.30,-0.66,0.07,
0.053,-0.82,-0.16,0.68,-0.28,-0.67,0.08,
0.053,-1.02,-0.19,0.58,-0.28,-0.67,0.08,
0.054,-1.02,-0.19,0.58,-0.26,-0.67,0.10,
0.099,-1.21,-0.22,0.52,-0.26,-0.67,0.10,
0.1,-1.21,-0.22,0.52,-0.24,-0.68,0.13,
0.101,-1.31,-0.21,0.45,-0.24,-0.68,0.13,
0.101,-1.31,-0.21,0.45,-0.22,-0.70,0.17,
0.101,-1.38,-0.26,0.47,-0.22,-0.70,0.17,
0.102,-1.38,-0.26,0.47,-0.21,-0.72,0.20,
0.102,-1.45,-0.31,0.58,-0.21,-0.72,0.20,
0.102,-1.45,-0.31,0.58,-0.20,-0.74,0.25,
0.103,-1.46,-0.31,0.79,-0.20,-0.74,0.25,
0.103,-1.46,-0.31,0.79,-0.19,-0.77,0.29,
0.104,-1.45,-0.40,0.91,-0.19,-0.77,0.29,
0.104,-1.45,-0.40,0.91,-0.17,-0.80,0.33,
0.105,-1.20,-0.32,0.98,-0.17,-0.80,0.33,
0.105,-1.20,-0.32,0.98,-0.15,-0.84,0.37,
0.106,-0.91,-0.22,1.10,-0.15,-0.84,0.37,
0.106,-0.91,-0.22,1.10,-0.11,-0.90,0.40,
0.107,-0.91,-0.22,1.10,-0.07,-0.97,0.42,
0.107,-0.74,-0.15,1.21,-0.07,-0.97,0.42,
0.107,-0.66,-0.11,1.18,-0.07,-0.97,0.42,
0.108,-0.66,-0.11,1.18,-0.02,-1.04,0.44,
0.108,-0.66,-0.11,1.18,0.02,-1.13,0.45,
0.109,-0.62,-0.03,1.11,0.02,-1.13,0.45,
0.148,-0.62,-0.00,1.05,0.02,-1.13,0.45,
0.149,-0.62,-0.00,1.05,0.06,-1.22,0.46,
0.149,-0.63,0.05,0.99,0.06,-1.22,0.46,
0.15,-0.63,0.05,0.99,0.09,-1.30,0.47,
0.15,-0.63,0.05,0.99,0.11,-1.36,0.47,
0.151,-0.60,0.08,1.00,0.11,-1.36,0.47,
0.151,-0.60,0.08,1.00,0.14,-1.41,0.49,
0.151,-0.56,0.08,1.10,0.14,-1.41,0.49,
0.152,-0.56,0.08,1.10,0.18,-1.46,0.50,
0.152,-0.51,0.03,1.15,0.18,-1.46,0.50,
0.152,-0.51,0.03,1.15,0.22,-1.53,0.50,
0.153,-0.50,0.03,1.07,0.22,-1.53,0.50,
0.153,-0.50,0.03,1.07,0.26,-1.63,0.51,
0.154,-0.47,0.02,0.90,0.26,-1.63,0.51,
0.154,-0.44,0.04,0.68,0.26,-1.63,0.51,
0.154,-0.44,0.04,0.68,0.30,-1.75,0.52,
0.155,-0.30,0.08,0.54,0.30,-1.75,0.52,
0.155,-0.30,0.08,0.54,0.33,-1.87,0.53,
0.156,-0.30,0.08,0.54,0.35,-1.99,0.54,
0.156,-0.28,0.06,0.59,0.35,-1.99,0.54,
0.165,-0.28,0.06,0.59,0.37,-2.11,0.55,
0.166,-0.22,0.03,0.71,0.37,-2.11,0.55,
0.166,-0.22,0.03,0.71,0.41,-2.23,0.54,
0.166,-0.23,0.05,0.81,0.41,-2.23,0.54,
0.169,-0.23,0.05,0.81,0.44,-2.35,0.53,
0.169,-0.34,0.08,0.81,0.44,-2.35,0.53,
0.184,-0.34,0.08,0.81,0.47,-2.42,0.53,
0.184,-0.49,0.13,0.74,0.47,-2.42,0.53,
0.185,-0.49,0.13,0.74,0.48,-2.47,0.55,
0.185,-0.22,0.07,0.59,0.48,-2.47,0.55,
0.236,0.13,0.03,0.40,0.48,-2.47,0.55,
0.236,0.13,0.03,0.40,0.49,-2.49,0.57,
0.237,0.40,-0.00,0.38,0.49,-2.49,0.57,
0.237,0.40,-0.00,0.38,0.48,-2.51,0.57,
0.237,0.40,-0.00,0.38,0.47,-2.52,0.55,
0.237,0.51,0.01,0.49,0.47,-2.52,0.55,
0.238,0.50,0.07,0.59,0.47,-2.52,0.55,
0.238,0.50,0.07,0.59,0.47,-2.53,0.51,
0.238,0.36,0.09,0.58,0.47,-2.53,0.51,
0.239,0.36,0.09,0.58,0.47,-2.56,0.48,
0.239,0.36,0.09,0.58,0.49,-2.61,0.45,
0.239,0.22,0.16,0.48,0.49,-2.61,0.45,
0.24,0.17,0.19,0.31,0.49,-2.61,0.45,
0.24,0.17,0.19,0.31,0.50,-2.67,0.44,
0.24,0.29,0.26,0.16,0.50,-2.67,0.44,
0.241,0.29,0.26,0.16,0.51,-2.75,0.43,
0.241,0.29,0.26,0.16,0.51,-2.81,0.41,
0.241,0.43,0.35,0.02,0.51,-2.81,0.41,
0.242,0.43,0.35,0.02,0.50,-2.87,0.39,
0.242,0.56,0.36,0.02,0.50,-2.87,0.39,
0.242,0.57,0.17,0.07,0.50,-2.87,0.39,
0.243,0.57,0.17,0.07,0.49,-2.93,0.36,
0.243,0.46,-0.03,0.17,0.49,-2.93,0.36,
0.243,0.46,-0.03,0.17,0.50,-2.98,0.33,
0.244,0.46,-0.03,0.17,0.53,-3.03,0.31,
0.244,0.28,-0.18,0.14,0.53,-3.03,0.31,
0.253,-0.31,-0.34,-0.13,0.53,-3.03,0.31,
0.253,-0.31,-0.34,-0.13,0.56,-3.10,0.30,
0.254,-0.31,-0.34,-0.13,0.60,-3.16,0.30,
0.254,-0.52,-0.34,-0.33,0.60,-3.16,0.30,
0.267,-0.52,-0.34,-0.33,0.64,-3.24,0.32,
0.267,-0.44,-0.32,-0.66,0.64,-3.24,0.32,
0.268,-0.41,-0.38,-1.00,0.64,-3.24,0.32,
0.268,-0.41,-0.38,-1.00,0.67,-3.34,0.34,
0.268,-0.41,-0.38,-1.00,0.69,-3.43,0.36,
0.269,-0.92,-0.48,-1.09,0.69,-3.43,0.36,
0.271,-0.92,-0.48,-1.09,0.72,-3.53,0.40,
0.272,-1.70,-0.40,-1.07,0.72,-3.53,0.40,
0.281,-1.39,-0.38,-1.96,0.72,-3.53,0.40,
0.282,-1.39,-0.38,-1.96,0.73,-3.65,0.46,
0.282,-0.59,-0.43,-3.75,0.73,-3.65,0.46,
0.283,-0.59,-0.43,-3.75,0.71,-3.82,0.51,
0.285,0.14,-0.55,-5.68,0.71,-3.82,0.51,
0.286,0.14,-0.55,-5.68,0.62,-4.00,0.54,
0.32,0.23,-0.63,-7.78,0.62,-4.00,0.54,
0.321,0.23,-0.63,-7.78,0.44,-4.14,0.54,
0.321,0.23,-0.63,-7.78,0.17,-4.23,0.53,
0.322,-0.20,-0.58,-9.35,0.17,-4.23,0.53,
0.322,-0.20,-0.58,-9.35,-0.17,-4.28,0.55,
0.323,-0.37,-0.52,-10.37,-0.17,-4.28,0.55,
0.323,-0.05,-0.39,-8.45,-0.17,-4.28,0.55,
0.324,-0.05,-0.39,-8.45,-0.52,-4.28,0.61,
0.324,0.07,-0.63,-6.40,-0.52,-4.28,0.61,
0.325,0.07,-0.63,-6.40,-0.76,-4.12,0.64,
0.325,0.07,-0.63,-6.40,-0.83,-3.89,0.68,
0.325,0.44,-0.90,-5.66,-0.83,-3.89,0.68,
0.326,1.28,-0.83,-5.26,-0.83,-3.89,0.68,
0.326,1.28,-0.83,-5.26,-0.84,-3.63,0.72,
0.326,1.28,-0.83,-5.26,-0.87,-3.35,0.69,
0.327,1.68,-0.87,-4.48,-0.87,-3.35,0.69,
0.333,1.70,-0.86,-3.77,-0.87,-3.35,0.69,
0.334,1.70,-0.86,-3.77,-0.90,-3.10,0.62,
0.334,1.64,-0.78,-3.13,-0.90,-3.10,0.62,
0.335,1.64,-0.78,-3.13,-0.92,-2.88,0.52,
0.34,1.59,-0.75,-2.41,-0.92,-2.88,0.52,
