
time,ax,ay,az,wx,wy,wz,
0.002,1.59,2.99,5.22,2.44,-1.58,-0.61,
0.003,1.49,2.54,4.96,2.44,-1.58,-0.61,
0.003,1.49,2.54,4.96,2.53,-1.78,-0.64,
0.003,1.46,2.13,4.59,2.53,-1.78,-0.64,
0.005,1.46,2.13,4.59,2.60,-1.99,-0.70,
0.005,1.42,1.82,4.37,2.60,-1.99,-0.70,
0.01,1.42,1.82,4.37,2.63,-2.18,-0.76,
0.011,1.32,1.56,4.34,2.63,-2.18,-0.76,
0.015,1.27,1.33,4.39,2.63,-2.18,-0.76,
0.015,1.27,1.33,4.39,2.65,-2.32,-0.83,
0.019,1.27,1.33,4.39,2.66,-2.42,-0.92,
0.02,1.28,0.94,4.50,2.66,-2.42,-0.92,
0.026,1.28,0.94,4.50,2.64,-2.47,-1.01,
0.026,1.26,0.51,4.61,2.64,-2.47,-1.01,
0.03,1.26,0.51,4.61,2.62,-2.45,-1.11,
0.03,1.17,-0.01,4.80,2.62,-2.45,-1.11,
0.034,1.17,-0.01,4.80,2.59,-2.39,-1.21,
0.035,0.96,-0.49,4.92,2.59,-2.39,-1.21,
0.039,0.96,-0.49,4.92,2.54,-2.29,-1.33,
0.039,0.57,-0.82,5.13,2.54,-2.29,-1.33,
0.045,0.57,-0.82,5.13,2.50,-2.17,-1.45,
0.046,0.04,-1.21,5.30,2.50,-2.17,-1.45,
0.049,-0.70,-1.64,5.52,2.50,-2.17,-1.45,
0.05,-0.70,-1.64,5.52,2.46,-2.04,-1.57,
0.054,-1.62,-2.26,5.59,2.46,-2.04,-1.57,
0.054,-1.62,-2.26,5.59,2.44,-1.89,-1.68,
0.067,-2.48,-3.03,5.49,2.44,-1.89,-1.68,
0.068,-2.48,-3.03,5.49,2.43,-1.76,-1.77,
0.068,-3.29,-3.73,5.26,2.43,-1.76,-1.77,
0.069,-3.29,-3.73,5.26,2.43,-1.64,-1.83,
0.071,-4.03,-4.40,5.08,2.43,-1.64,-1.83,
0.071,-4.03,-4.40,5.08,2.42,-1.55,-1.89,
0.073,-4.03,-4.40,5.08,2.42,-1.50,-1.94,
0.074,-4.76,-5.07,5.02,2.42,-1.50,-1.94,
0.096,-4.76,-5.07,5.02,2.42,-1.47,-1.97,
0.097,-5.85,-5.60,5.00,2.42,-1.47,-1.97,
0.098,-6.51,-6.10,5.07,2.42,-1.47,-1.97,
0.098,-6.51,-6.10,5.07,2.46,-1.48,-1.97,
0.098,-7.11,-6.57,5.08,2.46,-1.48,-1.97,
0.099,-7.11,-6.57,5.08,2.51,-1.51,-1.95,
0.099,-7.46,-6.98,4.95,2.51,-1.51,-1.95,
0.1,-7.46,-6.98,4.95,2.58,-1.55,-1.90,
0.1,-7.53,-7.50,4.78,2.58,-1.55,-1.90,
0.105,-7.53,-7.50,4.78,2.65,-1.59,-1.85,
0.106,-7.60,-8.02,4.57,2.65,-1.59,-1.85,
0.106,-7.60,-8.02,4.57,2.73,-1.64,-1.78,
0.116,-7.71,-8.54,4.35,2.73,-1.64,-1.78,
0.117,-7.71,-8.54,4.35,2.80,-1.68,-1.71,
0.118,-7.93,-9.00,4.09,2.80,-1.68,-1.71,
0.118,-7.93,-9.00,4.09,2.88,-1.71,-1.64,
0.118,-8.10,-9.35,3.88,2.88,-1.71,-1.64,
0.119,-8.10,-9.35,3.88,2.96,-1.72,-1.56,
0.122,-8.22,-9.58,3.73,2.96,-1.72,-1.56,
0.123,-8.22,-9.58,3.73,3.04,-1.73,-1.47,
0.127,-8.23,-9.68,3.62,3.04,-1.73,-1.47,
0.128,-8.23,-9.68,3.62,3.12,-1.74,-1.37,
0.131,-8.19,-9.82,3.35,3.12,-1.74,-1.37,
0.132,-8.19,-9.82,3.35,3.21,-1.75,-1.26,
0.136,-8.08,-10.06,3.01,3.21,-1.75,-1.26,
0.137,-8.08,-10.06,3.01,3.30,-1.75,-1.14,
0.151,-8.08,-10.06,3.01,3.38,-1.75,-1.02,
0.152,-7.93,-10.30,2.56,3.38,-1.75,-1.02,
0.153,-7.93,-10.30,2.56,3.46,-1.76,-0.90,
0.153,-7.90,-10.53,2.03,3.46,-1.76,-0.90,
0.154,-7.90,-10.53,2.03,3.53,-1.79,-0.76,
0.154,-7.94,-10.65,1.60,3.53,-1.79,-0.76,
0.156,-7.94,-10.65,1.60,3.58,-1.83,-0.61,
0.157,-7.66,-10.65,0.88,3.58,-1.83,-0.61,
0.161,-7.66,-10.65,0.88,3.60,-1.87,-0.48,
0.162,-7.40,-10.53,-0.06,3.60,-1.87,-0.48,
0.165,-7.22,-10.36,-0.88,3.60,-1.87,-0.48,
0.168,-7.22,-10.36,-0.88,3.56,-1.90,-0.36,
0.171,-7.22,-10.36,-0.88,3.47,-1.92,-0.24,
0.171,-6.94,-10.17,-1.59,3.47,-1.92,-0.24,
0.182,-6.94,-10.17,-1.59,3.34,-1.90,-0.13,
0.183,-6.65,-10.01,-2.16,3.34,-1.90,-0.13,
0.184,-6.65,-10.01,-2.16,3.17,-1.84,-0.02,
0.184,-6.24,-9.87,-2.69,3.17,-1.84,-0.02,
0.186,-6.24,-9.87,-2.69,2.95,-1.73,0.08,
0.187,-5.83,-9.73,-2.99,2.95,-1.73,0.08,
0.19,-5.83,-9.73,-2.99,2.70,-1.58,0.17,
0.191,-5.38,-9.64,-3.17,2.70,-1.58,0.17,
0.195,-4.83,-9.55,-3.16,2.70,-1.58,0.17,
0.196,-4.83,-9.55,-3.16,2.44,-1.42,0.25,
0.2,-4.83,-9.55,-3.16,2.17,-1.23,0.32,
0.201,-4.15,-9.52,-3.02,2.17,-1.23,0.32,
0.205,-3.46,-9.51,-2.63,2.17,-1.23,0.32,
0.205,-3.46,-9.51,-2.63,1.89,-1.03,0.38,
0.21,-2.92,-9.52,-2.09,1.89,-1.03,0.38,
0.211,-2.92,-9.52,-2.09,1.62,-0.82,0.43,
0.215,-2.62,-9.49,-1.42,1.62,-0.82,0.43,
0.215,-2.62,-9.49,-1.42,1.37,-0.59,0.46,
0.254,-2.42,-9.42,-0.58,1.37,-0.59,0.46,
0.254,-2.42,-9.42,-0.58,1.15,-0.37,0.48,
0.255,-2.42,-9.42,-0.58,0.98,-0.16,0.50,
0.255,-2.19,-9.36,0.17,0.98,-0.16,0.50,
0.256,-2.01,-9.37,0.88,0.98,-0.16,0.50,
0.256,-2.01,-9.37,0.88,0.85,0.03,0.51,
0.257,-1.79,-9.41,1.49,0.85,0.03,0.51,
0.258,-1.79,-9.41,1.49,0.76,0.22,0.52,
0.258,-1.52,-9.44,1.92,0.76,0.22,0.52,
0.26,-1.52,-9.44,1.92,0.70,0.40,0.54,
0.261,-1.52,-9.44,1.92,0.65,0.61,0.56,
0.261,-1.30,-9.43,2.14,0.65,0.61,0.56,
0.262,-1.30,-9.43,2.14,0.61,0.82,0.57,
0.262,-1.05,-9.24,2.24,0.61,0.82,0.57,
0.263,-1.05,-9.24,2.24,0.58,1.05,0.58,
0.263,-0.89,-9.04,2.15,0.58,1.05,0.58,
0.264,-0.89,-9.04,2.15,0.54,1.27,0.60,
0.264,-0.65,-8.71,2.02,0.54,1.27,0.60,
0.265,-0.11,-8.26,1.77,0.54,1.27,0.60,
0.265,-0.11,-8.26,1.77,0.50,1.47,0.62,
0.268,-0.11,-8.26,1.77,0.44,1.65,0.63,
0.269,0.71,-7.79,1.40,0.44,1.65,0.63,
0.273,0.71,-7.79,1.40,0.38,1.77,0.62,
0.274,1.94,-7.20,0.74,0.38,1.77,0.62,
0.278,1.94,-7.20,0.74,0.27,1.85,0.57,
0.278,3.22,-6.61,-0.08,0.27,1.85,0.57,
0.283,3.22,-6.61,-0.08,0.11,1.90,0.47,
0.283,4.26,-6.18,-0.78,0.11,1.90,0.47,
0.288,4.26,-6.18,-0.78,-0.11,1.96,0.33,
0.288,5.04,-5.85,-1.34,-0.11,1.96,0.33,
0.301,5.04,-5.85,-1.34,-0.36,2.05,0.16,
0.301,5.62,-5.49,-1.58,-0.36,2.05,0.16,
0.302,6.07,-5.08,-1.60,-0.36,2.05,0.16,
0.302,6.07,-5.08,-1.60,-0.63,2.17,-0.01,
0.303,6.07,-5.08,-1.60,-0.91,2.29,-0.17,
0.303,6.24,-4.73,-1.35,-0.91,2.29,-0.17,
0.307,6.24,-4.73,-1.35,-1.17,2.42,-0.31,
0.308,6.38,-4.51,-0.93,-1.17,2.42,-0.31,
0.313,6.38,-4.51,-0.93,-1.39,2.55,-0.41,
0.316,6.44,-4.34,-0.61,-1.39,2.55,-0.41,
0.317,6.44,-4.34,-0.61,-1.56,2.68,-0.50,
0.317,6.33,-4.18,-0.31,-1.56,2.68,-0.50,
0.322,6.33,-4.18,-0.31,-1.70,2.80,-0.58,
0.322,6.13,-3.97,-0.10,-1.70,2.80,-0.58,
0.34,6.13,-3.97,-0.10,-1.79,2.86,-0.65,
0.34,6.56,-3.88,-0.56,-1.79,2.86,-0.65,
0.341,6.56,-3.88,-0.56,-1.88,2.83,-0.72,
0.341,6.31,-3.63,-0.64,-1.88,2.83,-0.72,
0.342,5.47,-3.37,-0.27,-1.88,2.83,-0.72,
0.342,5.47,-3.37,-0.27,-1.96,2.77,-0.81,
0.342,4.64,-2.92,-0.15,-1.96,2.77,-0.81,
0.371,4.64,-2.92,-0.15,-2.00,2.72,-0.86,
0.372,4.64,-2.92,-0.15,-2.01,2.70,-0.89,
0.372,3.79,-2.50,-0.37,-2.01,2.70,-0.89,
0.372,3.01,-1.95,-0.91,-2.01,2.70,-0.89,
0.373,3.01,-1.95,-0.91,-1.98,2.71,-0.89,
0.373,2.60,-1.52,-1.34,-1.98,2.71,-0.89,
0.374,2.60,-1.52,-1.34,-1.95,2.70,-0.88,
0.374,2.44,-0.90,-1.59,-1.95,2.70,-0.88,
0.375,2.44,-0.90,-1.59,-1.96,2.52,-0.86,
0.375,2.19,-0.26,-1.90,-1.96,2.52,-0.86,
0.376,2.19,-0.26,-1.90,-1.94,2.30,-0.85,
0.376,2.19,-0.26,-1.90,-1.88,2.10,-0.89,
0.377,1.42,0.40,-1.97,-1.88,2.10,-0.89,
0.377,0.43,1.05,-1.88,-1.88,2.10,-0.89,
0.378,0.43,1.05,-1.88,-1.78,1.92,-0.98,
0.383,0.43,1.05,-1.88,-1.65,1.72,-1.05,
0.383,-0.48,1.75,-1.46,-1.65,1.72,-1.05,
0.385,-0.48,1.75,-1.46,-1.50,1.45,-1.09,
0.386,-0.27,2.18,-0.89,-1.50,1.45,-1.09,
0.39,-0.27,2.18,-0.89,-1.34,0.99,-1.10,
0.39,1.29,2.18,-0.44,-1.34,0.99,-1.10,
0.401,1.29,2.18,-0.44,-1.14,0.36,-1.12,
0.401,2.35,2.04,0.52,-1.14,0.36,-1.12,
0.402,2.35,2.04,0.52,-0.91,-0.28,-1.19,
0.402,2.56,2.24,1.42,-0.91,-0.28,-1.19,
0.405,2.56,2.24,1.42,-0.64,-0.82,-1.28,
