
time,ax,ay,az,wx,wy,wz,
0.003,-0.31,-0.19,-3.95,-0.29,-0.92,-0.10,
0.003,-0.31,-0.19,-3.95,-0.32,-1.01,-0.06,
0.004,-0.31,-0.19,-3.95,-0.36,-1.10,-0.02,
0.004,-0.18,-0.23,-3.95,-0.36,-1.10,-0.02,
0.033,-0.18,-0.23,-3.95,-0.39,-1.18,0.02,
0.034,0.11,-0.21,-3.96,-0.39,-1.18,0.02,
0.034,0.11,-0.21,-3.96,-0.41,-1.27,0.05,
0.035,0.39,-0.14,-3.98,-0.41,-1.27,0.05,
0.035,0.39,-0.14,-3.98,-0.44,-1.36,0.06,
0.035,0.66,-0.04,-3.99,-0.44,-1.36,0.06,
0.036,0.66,-0.04,-3.99,-0.46,-1.44,0.06,
0.036,0.96,-0.00,-4.09,-0.46,-1.44,0.06,
0.037,0.96,-0.00,-4.09,-0.49,-1.51,0.05,
0.038,1.09,-0.02,-4.14,-0.49,-1.51,0.05,
0.038,1.09,-0.02,-4.14,-0.52,-1.59,0.05,
0.038,1.16,-0.06,-4.07,-0.52,-1.59,0.05,
0.039,1.21,-0.12,-4.10,-0.52,-1.59,0.05,
0.039,1.21,-0.12,-4.10,-0.54,-1.66,0.04,
0.042,1.21,-0.12,-4.10,-0.58,-1.70,0.02,
0.042,1.17,-0.19,-4.05,-0.58,-1.70,0.02,
0.047,1.07,-0.28,-4.04,-0.58,-1.70,0.02,
0.047,1.07,-0.28,-4.04,-0.63,-1.74,0.00,
0.051,1.07,-0.28,-4.04,-0.68,-1.77,-0.01,
0.052,0.93,-0.43,-3.97,-0.68,-1.77,-0.01,
0.057,0.93,-0.43,-3.97,-0.72,-1.80,-0.02,
0.058,0.90,-0.60,-3.83,-0.72,-1.80,-0.02,
0.061,0.90,-0.60,-3.83,-0.76,-1.80,-0.02,
0.062,0.84,-0.75,-3.82,-0.76,-1.80,-0.02,
0.066,0.80,-0.92,-3.91,-0.76,-1.80,-0.02,
0.066,0.80,-0.92,-3.91,-0.79,-1.79,-0.01,
0.071,0.88,-1.17,-4.33,-0.79,-1.79,-0.01,
0.072,0.88,-1.17,-4.33,-0.81,-1.76,-0.00,
0.076,0.57,-1.26,-4.53,-0.81,-1.76,-0.00,
0.077,0.57,-1.26,-4.53,-0.85,-1.74,0.01,
0.081,0.57,-1.26,-4.53,-0.90,-1.74,0.03,
0.081,0.02,-1.39,-4.60,-0.90,-1.74,0.03,
0.086,-0.19,-1.54,-4.79,-0.90,-1.74,0.03,
0.087,-0.19,-1.54,-4.79,-0.95,-1.77,0.08,
0.091,-0.24,-1.72,-4.87,-0.95,-1.77,0.08,
0.091,-0.24,-1.72,-4.87,-1.00,-1.81,0.13,
0.096,-0.15,-1.87,-4.77,-1.00,-1.81,0.13,
0.097,-0.15,-1.87,-4.77,-1.04,-1.89,0.18,
0.1,-0.15,-1.87,-4.77,-1.06,-1.98,0.23,
0.101,0.03,-1.97,-4.61,-1.06,-1.98,0.23,
0.113,0.36,-2.00,-4.51,-1.06,-1.98,0.23,
0.114,0.36,-2.00,-4.51,-1.06,-2.10,0.28,
0.114,0.62,-2.01,-4.39,-1.06,-2.10,0.28,
0.115,0.62,-2.01,-4.39,-1.04,-2.25,0.30,
0.116,0.62,-2.01,-4.39,-1.00,-2.41,0.32,
0.116,0.74,-2.12,-4.36,-1.00,-2.41,0.32,
0.121,0.64,-2.23,-4.39,-1.00,-2.41,0.32,
0.122,0.64,-2.23,-4.39,-0.94,-2.60,0.32,
0.125,0.64,-2.45,-4.52,-0.94,-2.60,0.32,
0.126,0.64,-2.45,-4.52,-0.89,-2.82,0.33,
0.129,0.64,-2.45,-4.52,-0.85,-3.04,0.35,
0.13,0.78,-2.51,-4.69,-0.85,-3.04,0.35,
0.134,1.03,-2.62,-4.92,-0.85,-3.04,0.35,
0.135,1.03,-2.62,-4.92,-0.80,-3.26,0.38,
0.168,1.03,-2.62,-4.92,-0.77,-3.44,0.41,
0.169,1.23,-2.70,-5.16,-0.77,-3.44,0.41,
0.17,1.29,-2.88,-5.45,-0.77,-3.44,0.41,
0.17,1.29,-2.88,-5.45,-0.75,-3.61,0.44,
0.171,1.22,-3.18,-5.69,-0.75,-3.61,0.44,
0.172,1.22,-3.18,-5.69,-0.74,-3.77,0.46,
0.172,1.22,-3.18,-5.69,-0.75,-3.93,0.49,
0.173,1.07,-3.54,-5.96,-0.75,-3.93,0.49,
0.173,0.86,-4.00,-6.17,-0.75,-3.93,0.49,
0.174,0.86,-4.00,-6.17,-0.76,-4.10,0.53,
0.174,0.86,-4.00,-6.17,-0.78,-4.29,0.57,
0.175,0.51,-4.49,-6.32,-0.78,-4.29,0.57,
0.175,0.51,-4.49,-6.32,-0.81,-4.49,0.64,
0.176,0.27,-4.98,-6.36,-0.81,-4.49,0.64,
0.176,0.27,-4.98,-6.36,-0.83,-4.69,0.73,
0.176,0.09,-5.44,-6.25,-0.83,-4.69,0.73,
0.179,0.09,-5.44,-6.25,-0.84,-4.88,0.84,
0.179,-0.09,-5.94,-5.97,-0.84,-4.88,0.84,
0.196,-0.09,-5.94,-5.97,-0.83,-5.07,0.98,
0.196,-0.26,-6.36,-5.74,-0.83,-5.07,0.98,
0.197,-0.53,-6.75,-5.19,-0.83,-5.07,0.98,
0.198,-0.53,-6.75,-5.19,-0.80,-5.27,1.13,
