
time,ax,ay,az,wx,wy,wz,
0.003,0.22,-0.55,1.24,1.69,-2.06,-1.58,
0.003,0.22,-0.55,1.24,1.63,-1.96,-1.62,
0.004,0.26,-0.52,1.61,1.63,-1.96,-1.62,
0.004,0.26,-0.52,1.61,1.61,-1.88,-1.64,
0.005,0.27,-0.46,1.74,1.61,-1.88,-1.64,
0.005,0.27,-0.46,1.74,1.62,-1.82,-1.67,
0.016,0.34,-0.38,1.77,1.62,-1.82,-1.67,
0.017,0.34,-0.38,1.77,1.65,-1.79,-1.70,
0.018,0.34,-0.38,1.77,1.70,-1.80,-1.73,
0.018,0.50,-0.35,1.69,1.70,-1.80,-1.73,
0.019,0.50,-0.35,1.69,1.76,-1.86,-1.77,
0.02,0.80,-0.29,1.57,1.76,-1.86,-1.77,
0.025,0.80,-0.29,1.57,1.82,-1.95,-1.82,
0.026,1.10,-0.24,1.45,1.82,-1.95,-1.82,
0.029,1.26,-0.31,1.28,1.82,-1.95,-1.82,
0.03,1.26,-0.31,1.28,1.89,-2.06,-1.89,
0.034,1.35,-0.41,1.27,1.89,-2.06,-1.89,
0.035,1.35,-0.41,1.27,1.96,-2.18,-1.97,
0.039,1.35,-0.41,1.27,2.01,-2.31,-2.06,
0.039,1.24,-0.60,1.20,2.01,-2.31,-2.06,
0.055,1.24,-0.60,1.20,2.07,-2.42,-2.14,
0.055,1.00,-0.83,1.01,2.07,-2.42,-2.14,
0.056,0.75,-1.00,0.84,2.07,-2.42,-2.14,
0.056,0.75,-1.00,0.84,2.11,-2.52,-2.22,
0.057,0.51,-1.12,0.65,2.11,-2.52,-2.22,
0.057,0.51,-1.12,0.65,2.13,-2.62,-2.30,
0.059,0.26,-1.28,0.54,2.13,-2.62,-2.30,
0.06,0.26,-1.28,0.54,2.12,-2.70,-2.36,
0.063,0.26,-1.28,0.54,2.11,-2.74,-2.41,
0.064,-0.08,-1.52,0.45,2.11,-2.74,-2.41,
0.068,-0.56,-1.82,0.39,2.11,-2.74,-2.41,
0.071,-0.56,-1.82,0.39,2.07,-2.77,-2.46,
0.073,-0.56,-1.82,0.39,2.03,-2.77,-2.48,
0.073,-1.15,-2.06,0.40,2.03,-2.77,-2.48,
0.09,-1.15,-2.06,0.40,1.97,-2.76,-2.48,
0.091,-1.87,-2.29,0.47,1.97,-2.76,-2.48,
0.091,-2.54,-2.39,0.55,1.97,-2.76,-2.48,
0.092,-2.54,-2.39,0.55,1.92,-2.74,-2.44,
0.092,-3.01,-2.51,0.65,1.92,-2.74,-2.44,
0.093,-3.01,-2.51,0.65,1.86,-2.71,-2.38,
0.093,-3.01,-2.51,0.65,1.81,-2.68,-2.30,
0.094,-3.39,-2.62,0.78,1.81,-2.68,-2.30,
0.101,-3.39,-2.62,0.78,1.77,-2.65,-2.21,
0.102,-3.66,-2.71,0.89,1.77,-2.65,-2.21,
0.103,-3.66,-2.71,0.89,1.73,-2.60,-2.10,
0.103,-3.81,-2.79,0.97,1.73,-2.60,-2.10,
0.107,-3.81,-2.79,0.97,1.69,-2.54,-2.00,
0.108,-3.93,-2.88,1.05,1.69,-2.54,-2.00,
0.114,-3.88,-3.07,1.08,1.69,-2.54,-2.00,
0.115,-3.88,-3.07,1.08,1.65,-2.44,-1.89,
0.117,-3.46,-3.15,1.16,1.65,-2.44,-1.89,
0.117,-3.46,-3.15,1.16,1.59,-2.32,-1.78,
0.122,-2.72,-3.10,1.29,1.59,-2.32,-1.78,
0.122,-2.72,-3.10,1.29,1.54,-2.16,-1.70,
0.127,-2.72,-3.10,1.29,1.47,-1.98,-1.64,
0.128,-1.98,-2.99,1.56,1.47,-1.98,-1.64,
0.131,-1.98,-2.99,1.56,1.42,-1.80,-1.62,
0.132,-1.34,-2.95,1.81,1.42,-1.80,-1.62,
0.136,-0.91,-3.01,1.99,1.42,-1.80,-1.62,
0.137,-0.91,-3.01,1.99,1.37,-1.61,-1.64,
0.141,-0.70,-3.12,2.09,1.37,-1.61,-1.64,
0.141,-0.70,-3.12,2.09,1.34,-1.44,-1.68,
0.146,-0.70,-3.12,2.09,1.31,-1.28,-1.72,
0.147,-0.75,-3.20,2.06,1.31,-1.28,-1.72,
0.151,-0.75,-3.20,2.06,1.30,-1.17,-1.77,
0.152,-0.84,-3.19,1.84,1.30,-1.17,-1.77,
0.156,-1.00,-3.14,1.56,1.30,-1.17,-1.77,
0.156,-1.00,-3.14,1.56,1.29,-1.10,-1.81,
0.168,-1.00,-3.14,1.56,1.27,-1.08,-1.86,
0.169,-1.33,-3.24,1.27,1.27,-1.08,-1.86,
0.169,-1.33,-3.24,1.27,1.25,-1.11,-1.90,
0.17,-1.71,-3.37,1.02,1.25,-1.11,-1.90,
0.17,-1.71,-3.37,1.02,1.24,-1.18,-1.91,
0.171,-2.13,-3.50,0.82,1.24,-1.18,-1.91,
0.175,-2.58,-3.48,0.74,1.24,-1.18,-1.91,
0.176,-2.58,-3.48,0.74,1.21,-1.27,-1.92,
0.18,-2.58,-3.48,0.74,1.19,-1.38,-1.90,
0.181,-2.96,-3.52,0.80,1.19,-1.38,-1.90,
0.186,-2.96,-3.52,0.80,1.17,-1.50,-1.87,
0.187,-3.21,-3.49,0.97,1.17,-1.50,-1.87,
0.19,-3.21,-3.49,0.97,1.16,-1.62,-1.82,
0.19,-3.37,-3.51,1.19,1.16,-1.62,-1.82,
0.207,-3.63,-3.54,1.30,1.16,-1.62,-1.82,
0.208,-3.63,-3.54,1.30,1.15,-1.73,-1.78,
0.208,-4.08,-3.52,1.43,1.15,-1.73,-1.78,
0.209,-4.08,-3.52,1.43,1.15,-1.83,-1.72,
0.209,-4.08,-3.52,1.43,1.14,-1.89,-1.65,
0.21,-4.62,-3.55,1.52,1.14,-1.89,-1.65,
0.21,-4.62,-3.55,1.52,1.12,-1.92,-1.55,
0.211,-5.05,-3.58,1.64,1.12,-1.92,-1.55,
0.215,-5.05,-3.58,1.64,1.10,-1.90,-1.43,
0.216,-5.18,-3.66,1.82,1.10,-1.90,-1.43,
0.219,-5.12,-3.65,2.12,1.10,-1.90,-1.43,
0.22,-5.12,-3.65,2.12,1.08,-1.86,-1.30,
0.225,-4.99,-3.70,2.36,1.08,-1.86,-1.30,
0.225,-4.99,-3.70,2.36,1.05,-1.80,-1.17,
0.23,-4.71,-3.68,2.52,1.05,-1.80,-1.17,
0.23,-4.71,-3.68,2.52,1.03,-1.70,-1.04,
0.234,-4.10,-3.63,2.53,1.03,-1.70,-1.04,
0.235,-4.10,-3.63,2.53,1.01,-1.57,-0.93,
0.267,-4.10,-3.63,2.53,0.98,-1.42,-0.83,
0.268,-3.40,-3.52,2.61,0.98,-1.42,-0.83,
0.268,-3.40,-3.52,2.61,0.95,-1.24,-0.76,
0.269,-2.83,-3.37,2.65,0.95,-1.24,-0.76,
0.269,-2.83,-3.37,2.65,0.92,-1.03,-0.72,
0.27,-2.36,-3.25,2.63,0.92,-1.03,-0.72,
0.27,-2.36,-3.25,2.63,0.88,-0.82,-0.71,
0.271,-2.07,-3.18,2.59,0.88,-0.82,-0.71,
0.271,-2.07,-3.18,2.59,0.85,-0.62,-0.70,
0.272,-1.90,-3.09,2.39,0.85,-0.62,-0.70,
0.273,-1.90,-3.09,2.39,0.80,-0.44,-0.71,
0.273,-1.79,-2.91,2.22,0.80,-0.44,-0.71,
0.274,-1.79,-2.91,2.22,0.75,-0.29,-0.72,
0.274,-1.80,-2.75,1.98,0.75,-0.29,-0.72,
0.275,-1.80,-2.75,1.98,0.70,-0.17,-0.75,
0.275,-1.88,-2.69,1.84,0.70,-0.17,-0.75,
0.279,-1.88,-2.69,1.84,0.65,-0.08,-0.77,
0.28,-2.05,-2.67,1.79,0.65,-0.08,-0.77,
0.283,-2.05,-2.67,1.79,0.61,-0.03,-0.79,
0.284,-2.31,-2.79,1.79,0.61,-0.03,-0.79,
0.288,-2.31,-2.79,1.79,0.57,-0.01,-0.80,
0.288,-2.58,-2.87,1.85,0.57,-0.01,-0.80,
0.293,-2.84,-2.91,1.93,0.57,-0.01,-0.80,
0.293,-2.84,-2.91,1.93,0.55,-0.04,-0.80,
0.298,-3.14,-2.87,2.06,0.55,-0.04,-0.80,
0.298,-3.14,-2.87,2.06,0.55,-0.11,-0.79,
0.302,-3.14,-2.87,2.06,0.57,-0.22,-0.77,
0.303,-3.37,-2.93,2.23,0.57,-0.22,-0.77,
0.307,-3.37,-2.93,2.23,0.61,-0.35,-0.73,
0.307,-3.57,-2.99,2.36,0.61,-0.35,-0.73,
0.319,-3.57,-2.99,2.36,0.66,-0.50,-0.68,
0.319,-3.88,-2.98,2.43,0.66,-0.50,-0.68,
0.32,-3.88,-2.98,2.43,0.72,-0.65,-0.63,
0.32,-4.23,-2.97,2.55,0.72,-0.65,-0.63,
0.322,-4.23,-2.97,2.55,0.79,-0.79,-0.55,
0.322,-4.58,-2.95,2.57,0.79,-0.79,-0.55,
0.327,-4.58,-2.95,2.57,0.85,-0.91,-0.45,
0.328,-4.93,-2.90,2.63,0.85,-0.91,-0.45,
0.332,-4.93,-2.90,2.63,0.91,-1.02,-0.34,
0.332,-5.26,-2.92,2.69,0.91,-1.02,-0.34,
0.336,-5.26,-2.92,2.69,0.95,-1.12,-0.22,
0.337,-5.49,-2.94,2.70,0.95,-1.12,-0.22,
0.341,-5.49,-2.94,2.70,0.99,-1.18,-0.07,
0.342,-5.59,-2.92,2.74,0.99,-1.18,-0.07,
0.351,-5.59,-2.92,2.74,1.03,-1.21,0.08,
0.352,-5.41,-2.86,2.82,1.03,-1.21,0.08,
0.353,-4.81,-2.82,2.90,1.03,-1.21,0.08,
0.353,-4.81,-2.82,2.90,1.06,-1.20,0.23,
