
time,ax,ay,az,wx,wy,wz,
0.002,-1.49,-0.93,-2.01,-0.25,-0.54,-0.23,
0.003,-1.55,-1.01,-1.89,-0.25,-0.54,-0.23,
0.039,-1.55,-1.01,-1.89,-0.26,-0.59,-0.16,
0.039,-1.59,-1.07,-1.89,-0.26,-0.59,-0.16,
0.04,-1.59,-1.07,-1.89,-0.26,-0.63,-0.09,
0.04,-1.57,-1.20,-2.07,-0.26,-0.63,-0.09,
0.041,-1.57,-1.20,-2.07,-0.27,-0.68,-0.01,
0.041,-1.53,-1.40,-2.31,-0.27,-0.68,-0.01,
0.041,-1.53,-1.40,-2.31,-0.29,-0.71,0.08,
0.042,-1.53,-1.66,-2.50,-0.29,-0.71,0.08,
0.042,-1.53,-1.66,-2.50,-0.31,-0.73,0.17,
0.043,-1.58,-1.89,-2.57,-0.31,-0.73,0.17,
0.043,-1.67,-1.99,-2.46,-0.31,-0.73,0.17,
0.043,-1.67,-1.99,-2.46,-0.33,-0.76,0.25,
0.044,-1.68,-2.02,-2.27,-0.33,-0.76,0.25,
0.044,-1.68,-2.02,-2.27,-0.32,-0.79,0.34,
0.044,-1.43,-1.92,-2.16,-0.32,-0.79,0.34,
0.045,-1.43,-1.92,-2.16,-0.30,-0.84,0.42,
0.045,-0.95,-1.75,-2.23,-0.30,-0.84,0.42,
0.045,-0.95,-1.75,-2.23,-0.24,-0.91,0.49,
0.051,-0.28,-1.62,-2.45,-0.24,-0.91,0.49,
0.052,-0.28,-1.62,-2.45,-0.16,-1.01,0.53,
0.052,1.30,-0.91,-3.20,-0.16,-1.01,0.53,
0.052,1.30,-0.91,-3.20,-0.08,-1.14,0.54,
0.065,1.83,-1.18,-3.64,-0.08,-1.14,0.54,
0.066,1.83,-1.18,-3.64,-0.01,-1.34,0.49,
0.067,1.85,-1.80,-3.55,-0.01,-1.34,0.49,
0.067,1.85,-1.80,-3.55,0.05,-1.54,0.40,
0.067,1.85,-2.12,-3.69,0.05,-1.54,0.40,
0.068,1.85,-2.12,-3.69,0.11,-1.70,0.33,
0.08,1.67,-2.18,-3.85,0.11,-1.70,0.33,
0.081,1.67,-2.18,-3.85,0.15,-1.85,0.27,
0.082,1.67,-2.18,-3.85,0.16,-1.97,0.23,
0.082,1.66,-1.92,-4.09,0.16,-1.97,0.23,
0.082,3.06,-1.20,-3.97,0.16,-1.97,0.23,
0.083,3.06,-1.20,-3.97,0.16,-2.07,0.19,
0.086,3.32,-0.98,-3.78,0.16,-2.07,0.19,
0.087,3.32,-0.98,-3.78,0.16,-2.22,0.14,
0.096,3.32,-0.98,-3.78,0.16,-2.44,0.02,
0.097,3.11,-1.05,-3.99,0.16,-2.44,0.02,
0.097,3.11,-1.05,-3.99,0.16,-2.66,-0.16,
0.097,2.42,-1.01,-4.12,0.16,-2.66,-0.16,
0.101,2.42,-1.01,-4.12,0.15,-2.82,-0.34,
0.101,1.51,-0.90,-4.37,0.15,-2.82,-0.34,
0.159,1.51,-0.90,-4.37,0.12,-2.94,-0.47,
0.159,0.60,-0.75,-4.41,0.12,-2.94,-0.47,
0.16,0.60,-0.75,-4.41,0.06,-3.03,-0.54,
0.16,-0.32,-0.66,-4.31,0.06,-3.03,-0.54,
0.16,-0.32,-0.66,-4.31,-0.01,-3.09,-0.55,
0.161,-0.95,-0.75,-4.15,-0.01,-3.09,-0.55,
0.161,-0.95,-0.75,-4.15,-0.11,-3.09,-0.51,
0.162,-1.44,-0.96,-3.75,-0.11,-3.09,-0.51,
0.162,-1.44,-0.96,-3.75,-0.21,-3.02,-0.43,
0.163,-2.06,-1.34,-3.06,-0.21,-3.02,-0.43,
0.163,-2.06,-1.34,-3.06,-0.30,-2.85,-0.35,
0.163,-3.04,-1.68,-2.57,-0.30,-2.85,-0.35,
0.164,-3.04,-1.68,-2.57,-0.38,-2.60,-0.23,
0.164,-4.53,-1.99,-1.74,-0.38,-2.60,-0.23,
0.165,-5.48,-2.11,-1.80,-0.38,-2.60,-0.23,
0.165,-5.48,-2.11,-1.80,-0.41,-2.30,-0.05,
0.166,-5.60,-2.17,-2.66,-0.41,-2.30,-0.05,
0.166,-5.60,-2.17,-2.66,-0.42,-2.02,0.18,
0.166,-5.72,-2.23,-3.10,-0.42,-2.02,0.18,
0.167,-5.72,-2.23,-3.10,-0.44,-1.86,0.43,
0.167,-5.88,-2.30,-2.87,-0.44,-1.86,0.43,
0.167,-5.88,-2.30,-2.87,-0.46,-1.82,0.69,
0.168,-5.88,-2.30,-2.87,-0.47,-1.91,0.95,
0.168,-5.64,-2.30,-2.14,-0.47,-1.91,0.95,
0.169,-5.64,-2.30,-2.14,-0.44,-2.12,1.22,
0.169,-5.03,-2.33,-1.44,-0.44,-2.12,1.22,
0.17,-4.28,-2.48,-1.08,-0.44,-2.12,1.22,
0.17,-4.28,-2.48,-1.08,-0.37,-2.44,1.48,
0.174,-3.63,-2.74,-0.93,-0.37,-2.44,1.48,
0.175,-3.63,-2.74,-0.93,-0.26,-2.86,1.72,
0.179,-3.36,-2.94,-0.86,-0.26,-2.86,1.72,
0.179,-3.36,-2.94,-0.86,-0.13,-3.35,1.93,
0.184,-3.14,-2.94,-0.63,-0.13,-3.35,1.93,
0.184,-3.14,-2.94,-0.63,0.02,-3.91,2.14,
0.189,-3.14,-2.94,-0.63,0.19,-4.47,2.34,
0.19,-3.26,-2.85,-0.19,0.19,-4.47,2.34,
0.194,-3.26,-2.85,-0.19,0.38,-5.00,2.53,
0.194,-2.12,-2.79,0.74,0.38,-5.00,2.53,
0.199,-2.12,-2.79,0.74,0.59,-5.58,2.72,
0.199,-2.00,-2.91,1.50,0.59,-5.58,2.72,
0.228,-2.00,-2.91,1.50,0.79,-6.29,2.95,
0.229,-2.61,-3.13,1.11,0.79,-6.29,2.95,
0.229,-2.61,-3.13,1.11,0.99,-6.87,3.17,
