
time,ax,ay,az,wx,wy,wz,
0.028,0.08,-0.04,0.02,-0.15,0.21,0.04,
0.029,0.08,-0.04,0.02,-0.14,0.23,0.04,
0.029,0.09,-0.05,0.02,-0.14,0.23,0.04,
0.03,0.09,-0.05,0.02,-0.14,0.22,0.04,
0.03,0.09,-0.05,0.02,-0.13,0.21,0.04,
0.031,0.10,-0.04,0.06,-0.13,0.21,0.04,
0.031,0.11,-0.06,0.04,-0.13,0.21,0.04,
0.031,0.11,-0.06,0.04,-0.13,0.19,0.04,
0.032,0.11,-0.06,0.04,-0.12,0.18,0.03,
0.032,0.12,-0.06,0.02,-0.12,0.18,0.03,
0.032,0.13,-0.02,0.03,-0.12,0.18,0.03,
0.032,0.13,-0.02,0.03,-0.11,0.17,0.03,
0.033,0.13,-0.02,0.03,-0.11,0.17,0.03,
0.033,0.22,-0.01,-0.07,-0.11,0.17,0.03,
0.033,0.22,-0.01,-0.07,-0.10,0.17,0.02,
0.033,0.27,-0.03,-0.11,-0.10,0.17,0.02,
0.041,0.26,-0.03,-0.09,-0.10,0.17,0.02,
0.041,0.26,-0.03,-0.09,-0.09,0.17,0.01,
0.041,0.26,-0.03,-0.09,-0.08,0.17,-0.01,
0.042,0.27,0.03,-0.09,-0.08,0.17,-0.01,
0.058,0.27,0.03,-0.09,-0.08,0.16,-0.02,
0.058,0.13,0.10,-0.06,-0.08,0.16,-0.02,
0.059,0.13,0.10,-0.06,-0.07,0.16,-0.04,
0.059,0.07,0.08,-0.06,-0.07,0.16,-0.04,
0.059,-0.02,0.08,-0.03,-0.07,0.16,-0.04,
0.06,-0.02,0.08,-0.03,-0.07,0.14,-0.05,
0.06,-0.02,0.08,-0.03,-0.07,0.13,-0.06,
0.06,-0.16,0.13,-0.07,-0.07,0.13,-0.06,
0.149,-0.31,0.16,-0.08,-0.07,0.13,-0.06,
0.149,-0.31,0.16,-0.08,-0.07,0.13,-0.06,
0.15,-0.31,0.16,-0.08,-0.07,0.13,-0.05,
0.15,-0.39,0.19,-0.11,-0.07,0.13,-0.05,
0.151,-0.39,0.19,-0.11,-0.07,0.13,-0.04,
0.151,-0.49,0.22,-0.13,-0.07,0.13,-0.04,
0.152,-0.49,0.22,-0.13,-0.07,0.13,-0.04,
0.152,-0.44,0.24,-0.16,-0.07,0.13,-0.04,
0.153,-0.44,0.24,-0.16,-0.06,0.13,-0.03,
0.153,-0.44,0.22,-0.16,-0.06,0.13,-0.03,
0.153,-0.44,0.22,-0.16,-0.06,0.13,-0.02,
0.154,-0.34,0.20,-0.13,-0.06,0.13,-0.02,
0.154,-0.34,0.20,-0.13,-0.05,0.12,-0.01,
0.155,-0.18,0.13,-0.15,-0.05,0.12,-0.01,
0.155,-0.18,0.13,-0.15,-0.05,0.12,-0.01,
0.156,-0.01,0.09,-0.10,-0.05,0.12,-0.01,
0.156,0.12,0.06,-0.16,-0.05,0.12,-0.01,
0.157,0.12,0.06,-0.16,-0.04,0.12,-0.02,
0.157,0.14,0.02,-0.07,-0.04,0.12,-0.02,
0.158,0.14,0.02,-0.07,-0.03,0.13,-0.02,
0.158,0.14,0.02,-0.07,-0.02,0.15,-0.03,
0.158,0.14,0.08,-0.08,-0.02,0.15,-0.03,
0.159,0.13,0.11,-0.11,-0.02,0.15,-0.03,
0.159,0.13,0.11,-0.11,-0.01,0.16,-0.03,
