
time,ax,ay,az,wx,wy,wz,
0.002,-0.59,0.53,-0.42,-0.16,-0.19,0.11,
0.002,-0.59,0.53,-0.42,-0.16,-0.26,0.09,
0.003,-0.59,0.53,-0.42,-0.16,-0.30,0.09,
0.003,-1.56,0.65,-0.15,-0.16,-0.30,0.09,
0.008,-1.56,0.65,-0.15,-0.14,-0.27,0.12,
0.009,-1.66,0.59,-0.19,-0.14,-0.27,0.12,
0.02,-1.66,0.59,-0.19,-0.15,-0.21,0.18,
0.021,-1.07,0.36,-0.43,-0.15,-0.21,0.18,
0.021,-1.07,0.36,-0.43,-0.17,-0.19,0.22,
0.022,-0.50,0.14,-0.63,-0.17,-0.19,0.22,
0.023,-0.50,0.14,-0.63,-0.20,-0.17,0.22,
0.023,-0.13,0.12,-0.72,-0.20,-0.17,0.22,
0.037,-0.03,0.22,-0.68,-0.20,-0.17,0.22,
0.038,-0.03,0.22,-0.68,-0.24,-0.15,0.21,
0.038,-0.03,0.22,-0.68,-0.27,-0.13,0.20,
0.038,0.16,0.17,-0.54,-0.27,-0.13,0.20,
0.039,0.16,0.17,-0.54,-0.30,-0.12,0.17,
0.039,-0.10,0.29,-0.12,-0.30,-0.12,0.17,
0.049,-0.37,0.45,0.36,-0.30,-0.12,0.17,
0.05,-0.37,0.45,0.36,-0.30,-0.12,0.14,
0.05,-0.24,0.51,0.61,-0.30,-0.12,0.14,
0.05,-0.24,0.51,0.61,-0.27,-0.13,0.13,
0.052,-0.24,0.51,0.61,-0.22,-0.14,0.13,
0.052,-0.02,0.42,0.75,-0.22,-0.14,0.13,
0.056,-0.02,0.42,0.75,-0.17,-0.16,0.12,
0.057,0.17,0.34,0.68,-0.17,-0.16,0.12,
0.061,0.17,0.34,0.68,-0.12,-0.19,0.09,
0.062,0.18,0.29,0.52,-0.12,-0.19,0.09,
0.066,0.18,0.29,0.52,-0.08,-0.22,0.06,
0.067,0.06,0.29,0.24,-0.08,-0.22,0.06,
0.071,0.06,0.29,0.24,-0.06,-0.24,0.04,
0.072,-0.11,0.30,0.07,-0.06,-0.24,0.04,
0.08,-0.11,0.30,0.07,-0.06,-0.25,0.02,
0.081,-0.24,0.35,-0.08,-0.06,-0.25,0.02,
0.082,-0.24,0.35,-0.08,-0.07,-0.25,0.02,
0.082,-0.33,0.38,-0.19,-0.07,-0.25,0.02,
0.086,-0.39,0.35,-0.21,-0.07,-0.25,0.02,
0.087,-0.39,0.35,-0.21,-0.09,-0.24,0.01,
0.091,-0.42,0.38,-0.19,-0.09,-0.24,0.01,
0.091,-0.42,0.38,-0.19,-0.11,-0.24,0.01,
0.096,-0.42,0.38,-0.19,-0.13,-0.24,0.01,
0.097,-0.37,0.38,-0.08,-0.13,-0.24,0.01,
0.101,-0.37,0.38,-0.08,-0.15,-0.25,0.01,
0.101,-0.25,0.44,-0.03,-0.15,-0.25,0.01,
0.105,-0.14,0.40,0.06,-0.15,-0.25,0.01,
0.106,-0.14,0.40,0.06,-0.16,-0.26,0.00,
0.12,-0.14,0.40,0.06,-0.17,-0.28,-0.00,
0.12,-0.04,0.40,0.13,-0.17,-0.28,-0.00,
0.121,-0.04,0.40,0.13,-0.18,-0.30,-0.01,
0.122,0.06,0.37,0.24,-0.18,-0.30,-0.01,
0.122,0.04,0.33,0.38,-0.18,-0.30,-0.01,
0.123,0.04,0.33,0.38,-0.18,-0.34,-0.03,
0.125,0.04,0.32,0.45,-0.18,-0.34,-0.03,
0.125,0.04,0.32,0.45,-0.16,-0.41,-0.04,
0.131,-0.00,0.36,0.45,-0.16,-0.41,-0.04,
0.132,-0.00,0.36,0.45,-0.14,-0.50,-0.05,
0.135,-0.09,0.40,0.47,-0.14,-0.50,-0.05,
0.136,-0.09,0.40,0.47,-0.11,-0.59,-0.07,
0.141,-0.09,0.40,0.47,-0.08,-0.67,-0.07,
0.142,-0.29,0.40,0.58,-0.08,-0.67,-0.07,
0.149,-0.29,0.40,0.58,-0.05,-0.70,-0.07,
0.15,-0.50,0.42,0.59,-0.05,-0.70,-0.07,
0.15,-0.50,0.42,0.59,-0.03,-0.72,-0.06,
0.151,-0.63,0.37,0.62,-0.03,-0.72,-0.06,
0.154,-0.79,0.32,0.57,-0.03,-0.72,-0.06,
0.154,-0.79,0.32,0.57,-0.01,-0.70,-0.04,
0.158,-0.92,0.25,0.48,-0.01,-0.70,-0.04,
0.159,-0.92,0.25,0.48,0.01,-0.66,-0.01,
0.165,-1.04,0.19,0.35,0.01,-0.66,-0.01,
0.166,-1.04,0.19,0.35,0.01,-0.58,0.02,
0.168,-0.98,0.06,0.24,0.01,-0.58,0.02,
0.169,-0.98,0.06,0.24,-0.00,-0.48,0.06,
0.173,-0.83,-0.03,0.24,-0.00,-0.48,0.06,
0.174,-0.83,-0.03,0.24,-0.01,-0.38,0.09,
0.178,-0.62,0.01,0.22,-0.01,-0.38,0.09,
0.182,-0.62,0.01,0.22,-0.03,-0.29,0.12,
0.183,-0.62,0.01,0.22,-0.04,-0.21,0.14,
0.184,-0.46,0.06,0.20,-0.04,-0.21,0.14,
0.188,-0.46,0.06,0.20,-0.06,-0.15,0.16,
0.188,-0.42,0.02,0.23,-0.06,-0.15,0.16,
0.204,-0.42,0.02,0.23,-0.06,-0.10,0.17,
0.205,-0.44,-0.05,0.31,-0.06,-0.10,0.17,
