
time,ax,ay,az,wx,wy,wz,
0.002,0.49,1.05,-0.74,-0.65,-1.03,0.25,
0.003,0.49,1.05,-0.74,-0.66,-1.03,0.20,
0.003,0.63,1.01,-0.63,-0.66,-1.03,0.20,
0.004,0.63,1.01,-0.63,-0.68,-1.01,0.14,
0.007,0.66,0.95,-0.60,-0.68,-1.01,0.14,
0.008,0.66,0.95,-0.60,-0.70,-0.97,0.08,
0.009,0.70,0.93,-0.54,-0.70,-0.97,0.08,
0.01,0.70,0.93,-0.54,-0.73,-0.92,0.01,
0.017,0.70,0.93,-0.54,-0.76,-0.86,-0.05,
0.018,0.74,0.93,-0.31,-0.76,-0.86,-0.05,
0.019,0.74,0.93,-0.31,-0.79,-0.79,-0.11,
0.02,0.81,0.93,-0.03,-0.79,-0.79,-0.11,
0.024,0.81,0.93,-0.03,-0.81,-0.73,-0.18,
0.025,0.83,0.85,0.12,-0.81,-0.73,-0.18,
0.032,0.86,0.73,0.18,-0.81,-0.73,-0.18,
0.032,0.86,0.73,0.18,-0.82,-0.67,-0.23,
0.034,0.86,0.73,0.18,-0.84,-0.62,-0.29,
0.034,0.89,0.60,0.18,-0.84,-0.62,-0.29,
0.039,0.89,0.60,0.18,-0.86,-0.57,-0.34,
0.039,0.83,0.42,0.24,-0.86,-0.57,-0.34,
0.044,0.74,0.32,0.31,-0.86,-0.57,-0.34,
0.045,0.74,0.32,0.31,-0.87,-0.52,-0.39,
0.049,0.74,0.32,0.31,-0.89,-0.48,-0.42,
0.049,0.60,0.22,0.46,-0.89,-0.48,-0.42,
0.053,0.60,0.22,0.46,-0.91,-0.43,-0.45,
0.054,0.47,0.11,0.66,-0.91,-0.43,-0.45,
0.058,0.47,0.11,0.66,-0.92,-0.39,-0.47,
0.059,0.32,0.01,0.90,-0.92,-0.39,-0.47,
0.064,0.21,-0.12,1.11,-0.92,-0.39,-0.47,
0.065,0.21,-0.12,1.11,-0.92,-0.34,-0.48,
0.068,0.10,-0.21,1.27,-0.92,-0.34,-0.48,
0.069,0.10,-0.21,1.27,-0.90,-0.29,-0.48,
0.073,0.02,-0.32,1.35,-0.90,-0.29,-0.48,
0.074,0.02,-0.32,1.35,-0.87,-0.25,-0.48,
0.079,-0.09,-0.40,1.37,-0.87,-0.25,-0.48,
0.08,-0.09,-0.40,1.37,-0.83,-0.22,-0.47,
0.083,-0.17,-0.41,1.21,-0.83,-0.22,-0.47,
0.083,-0.17,-0.41,1.21,-0.80,-0.19,-0.46,
0.088,-0.32,-0.43,1.03,-0.80,-0.19,-0.46,
0.089,-0.32,-0.43,1.03,-0.75,-0.17,-0.45,
