
time,ax,ay,az,wx,wy,wz,
0.002,2.92,-4.22,-7.22,-0.15,-3.30,0.63,
0.003,2.92,-4.22,-7.22,-0.20,-3.55,0.68,
0.004,2.92,-4.22,-7.22,-0.23,-3.85,0.72,
0.004,2.71,-4.74,-7.28,-0.23,-3.85,0.72,
0.038,2.71,-4.74,-7.28,-0.25,-4.13,0.74,
0.039,2.62,-5.23,-7.46,-0.25,-4.13,0.74,
0.039,2.62,-5.23,-7.46,-0.26,-4.35,0.76,
0.039,2.36,-5.53,-7.33,-0.26,-4.35,0.76,
0.04,2.12,-5.75,-7.13,-0.26,-4.35,0.76,
0.04,2.12,-5.75,-7.13,-0.27,-4.53,0.78,
0.04,2.12,-5.75,-7.13,-0.28,-4.72,0.82,
0.041,1.98,-6.01,-6.83,-0.28,-4.72,0.82,
0.042,1.75,-6.39,-6.56,-0.28,-4.72,0.82,
0.042,1.75,-6.39,-6.56,-0.28,-4.93,0.88,
0.042,1.75,-6.39,-6.56,-0.27,-5.18,0.95,
0.043,1.48,-6.71,-6.18,-0.27,-5.18,0.95,
0.043,1.48,-6.71,-6.18,-0.25,-5.41,1.01,
0.044,1.15,-6.94,-5.90,-0.25,-5.41,1.01,
0.044,1.15,-6.94,-5.90,-0.22,-5.61,1.07,
0.044,0.66,-7.21,-5.68,-0.22,-5.61,1.07,
0.047,0.66,-7.21,-5.68,-0.19,-5.77,1.14,
0.048,0.20,-7.35,-5.56,-0.19,-5.77,1.14,
0.056,-0.30,-7.65,-5.51,-0.19,-5.77,1.14,
0.057,-0.30,-7.65,-5.51,-0.18,-5.92,1.23,
0.057,-0.74,-8.08,-5.58,-0.18,-5.92,1.23,
0.058,-0.74,-8.08,-5.58,-0.19,-6.03,1.33,
0.06,-0.69,-8.70,-5.89,-0.19,-6.03,1.33,
0.06,-0.69,-8.70,-5.89,-0.22,-6.08,1.44,
0.074,-0.69,-8.70,-5.89,-0.28,-6.09,1.56,
0.075,-1.10,-9.19,-6.28,-0.28,-6.09,1.56,
0.076,-1.10,-9.19,-6.28,-0.39,-6.04,1.67,
0.076,-1.82,-9.48,-6.36,-0.39,-6.04,1.67,
0.077,-1.82,-9.48,-6.36,-0.51,-5.95,1.78,
0.077,-2.62,-9.73,-6.48,-0.51,-5.95,1.78,
0.08,-3.26,-9.99,-6.73,-0.51,-5.95,1.78,
0.081,-3.26,-9.99,-6.73,-0.63,-5.85,1.92,
0.092,-3.26,-9.99,-6.73,-0.78,-5.75,2.07,
0.093,-3.91,-10.33,-6.93,-0.78,-5.75,2.07,
0.094,-4.60,-10.70,-6.96,-0.78,-5.75,2.07,
0.094,-4.60,-10.70,-6.96,-0.94,-5.69,2.24,
0.095,-4.60,-10.70,-6.96,-1.11,-5.68,2.42,
0.095,-5.34,-11.05,-6.90,-1.11,-5.68,2.42,
0.143,-6.07,-11.40,-6.61,-1.11,-5.68,2.42,
0.144,-6.07,-11.40,-6.61,-1.28,-5.72,2.60,
0.144,-6.64,-11.71,-6.32,-1.28,-5.72,2.60,
0.145,-6.64,-11.71,-6.32,-1.44,-5.79,2.79,
0.145,-6.64,-11.71,-6.32,-1.60,-5.86,2.99,
0.146,-7.19,-12.11,-5.92,-1.60,-5.86,2.99,
0.146,-7.19,-12.11,-5.92,-1.76,-5.93,3.21,
0.147,-7.43,-12.57,-5.42,-1.76,-5.93,3.21,
0.147,-7.43,-12.57,-5.42,-1.92,-6.00,3.45,
0.148,-7.08,-13.10,-4.92,-1.92,-6.00,3.45,
0.148,-6.11,-13.60,-4.31,-1.92,-6.00,3.45,
0.149,-6.11,-13.60,-4.31,-2.10,-6.05,3.69,
0.149,-6.11,-13.60,-4.31,-2.29,-6.08,3.91,
0.15,-4.78,-14.07,-3.33,-2.29,-6.08,3.91,
0.15,-4.78,-14.07,-3.33,-2.46,-6.07,4.09,
0.151,-3.60,-14.53,-1.95,-2.46,-6.07,4.09,
0.151,-2.66,-14.92,-0.42,-2.46,-6.07,4.09,
0.152,-2.66,-14.92,-0.42,-2.62,-6.00,4.25,
0.152,-2.11,-15.22,1.06,-2.62,-6.00,4.25,
0.153,-2.11,-15.22,1.06,-2.74,-5.90,4.38,
0.153,-2.11,-15.22,1.06,-2.83,-5.75,4.50,
0.154,-1.57,-15.22,2.61,-2.83,-5.75,4.50,
0.154,-1.57,-15.22,2.61,-2.90,-5.56,4.62,
0.155,-0.64,-14.91,4.33,-2.90,-5.56,4.62,
0.158,-0.64,-14.91,4.33,-2.94,-5.31,4.74,
0.159,0.63,-14.48,6.06,-2.94,-5.31,4.74,
0.163,1.85,-14.18,7.34,-2.94,-5.31,4.74,
0.163,1.85,-14.18,7.34,-2.96,-5.01,4.81,
