time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,-1.3120,-0.7880,-1.4233,2.090
0.002000,-1.3410,-0.8300,-1.3636,2.085
0.005000,-1.2942,-0.8741,-1.3396,2.058
0.011000,-1.1113,-0.9590,-1.3916,2.023
0.015000,-0.8664,-1.0449,-1.5231,2.040
0.020000,-0.7024,-1.1632,-1.7480,2.214
0.026000,-0.6523,-1.3026,-2.0130,2.485
0.030000,-0.6487,-1.4205,-2.4413,2.898
0.035000,-0.6865,-1.4570,-2.8332,3.259
0.043000,-0.7943,-1.4742,-3.4042,3.794
0.045000,-1.0620,-1.6246,-4.0769,4.515
0.049000,-1.5943,-1.7948,-4.7924,5.360
0.054000,-2.3067,-1.9431,-5.4988,6.272
0.063000,-3.1436,-2.1178,-5.9380,7.045
0.064000,-3.7219,-2.2501,-6.2488,7.613
0.069000,-4.1876,-2.4847,-6.4711,8.099
0.074000,-4.5484,-2.8105,-6.5906,8.487
0.078000,-4.9793,-3.0732,-6.8028,8.973
0.084000,-5.3396,-3.1309,-6.9830,9.331
0.088000,-5.4003,-2.9454,-7.1054,9.398
0.094000,-5.0352,-2.6595,-7.1564,9.145
0.098000,-4.1189,-2.2983,-7.2103,8.616
0.103000,-2.8705,-1.9588,-7.3486,8.129
0.109000,-1.3055,-1.6459,-7.5579,7.844
0.113000,0.4385,-1.2521,-7.8881,7.999
0.117000,2.1101,-0.7137,-8.3045,8.598
0.126000,3.5803,-0.1612,-8.7247,9.432
0.127000,4.8707,0.3860,-9.2490,10.460
0.132000,5.9339,0.8505,-9.8819,11.558
0.137000,6.8925,1.1628,-10.5745,12.676
0.145000,7.8804,1.3202,-11.2950,13.835
0.147000,9.0392,1.4389,-11.9007,15.013
0.152000,10.0775,1.5106,-12.4327,16.075
0.162000,10.8761,1.4581,-12.9301,16.959
0.163000,11.4899,1.3883,-13.3412,17.662
0.166000,11.9428,1.3702,-13.8047,18.305
0.171000,12.0962,1.3664,-14.1880,18.695
0.177000,11.8306,1.2596,-14.4185,18.693
0.181000,11.4785,1.1126,-14.4210,18.465
0.186000,11.1951,0.9959,-14.0352,17.981
0.192000,11.1738,0.9299,-13.3064,17.400
0.195000,11.5477,0.9482,-12.5272,17.064
0.200000,12.2424,1.0109,-11.8425,17.063
0.205000,13.2139,1.0049,-11.4139,17.490
0.210000,14.2684,0.8605,-11.1941,18.156
0.215000,15.3936,0.6559,-11.0262,18.946
0.220000,16.4123,0.3948,-10.9191,19.717
0.226000,17.4270,0.1689,-10.8669,20.538
0.230000,18.4322,-0.0929,-10.7033,21.315
0.235000,19.3865,-0.4067,-10.5177,22.060
0.239000,20.1893,-0.8548,-10.4641,22.756
0.252000,20.8736,-1.6269,-10.3966,23.376
0.254000,21.5304,-2.6703,-10.4248,24.070
0.255000,22.0551,-3.8310,-10.4774,24.716
0.261000,22.4123,-4.9538,-10.4093,25.203
0.275000,22.5880,-5.8884,-10.1021,25.435
0.277000,22.6261,-6.6948,-9.5387,25.451
0.279000,22.5446,-7.5184,-8.6842,25.302
0.280000,22.3654,-8.2433,-7.6252,25.026
0.288000,22.0610,-8.9983,-6.3092,24.647
0.289000,21.7543,-9.7570,-4.8673,24.334
0.295000,21.5347,-10.6125,-3.2650,24.229
0.299000,21.2887,-11.4751,-1.5671,24.235
0.304000,20.9355,-12.2177,0.2867,24.241
0.308000,20.3431,-12.8508,2.0507,24.149
0.313000,19.6780,-13.4735,3.4701,24.100
0.318000,19.1256,-13.9267,4.5880,24.100
0.322000,18.6435,-14.3061,5.3724,24.106
0.327000,18.0264,-14.4658,5.8167,23.834
0.332000,17.2028,-14.4792,6.1718,23.317
0.337000,16.3021,-14.3439,6.4955,22.665
0.344000,15.4845,-14.2121,6.7682,22.081
0.347000,14.7977,-14.1554,6.9825,21.636
0.351000,14.3216,-14.3197,7.1962,21.493
0.358000,13.8900,-14.5773,7.4420,21.467
0.363000,13.3122,-14.6344,7.9282,21.313
0.367000,12.7413,-14.3231,8.7095,21.056
0.371000,12.3512,-13.9062,9.9266,21.082
0.376000,12.2227,-13.7716,11.4370,21.676
0.381000,12.3218,-14.0973,13.3343,22.986
0.386000,12.8323,-14.8615,15.3972,24.952
0.391000,13.4634,-15.9673,17.3738,27.167
0.396000,13.8277,-17.0938,18.7277,28.881
0.401000,13.8138,-18.2112,19.4174,29.992
0.405000,13.3876,-19.2502,19.1527,30.276
0.410000,12.9327,-20.1715,17.9644,29.948
0.415000,12.4426,-20.8934,16.1176,29.174
0.420000,12.0152,-21.4245,13.7677,28.159
0.425000,11.6056,-21.7035,11.3328,27.095
0.429000,11.1700,-21.8755,8.9421,26.139
0.434000,10.9027,-22.0275,6.5451,25.435
0.439000,10.9068,-22.1057,4.1469,24.996
0.444000,10.9639,-22.0958,1.9202,24.741
