time,gFx,gFy,gFz,TgF
0.002000,-0.0739,0.5409,0.7028,0.890
0.002000,-0.0536,0.5489,0.7089,0.898
0.005000,-0.0509,0.5616,0.7370,0.928
0.009000,-0.0631,0.5787,0.7739,0.968
0.021000,-0.0785,0.5841,0.8076,1.000
0.021000,-0.0946,0.5795,0.8271,1.014
0.023000,-0.1093,0.5626,0.8283,1.007
0.029000,-0.1151,0.5394,0.8220,0.990
0.038000,-0.1232,0.5255,0.8151,0.978
0.038000,-0.1239,0.5223,0.8090,0.971
0.043000,-0.1322,0.5223,0.8173,0.979
0.056000,-0.1527,0.5226,0.8410,1.002
0.056000,-0.1745,0.5255,0.8652,1.027
0.058000,-0.1764,0.5204,0.8715,1.030
0.099000,-0.1713,0.5155,0.8606,1.018
0.099000,-0.1642,0.5091,0.8432,0.999
0.099000,-0.1666,0.5050,0.8205,0.978
0.100000,-0.1832,0.4996,0.8022,0.963
0.100000,-0.2045,0.5013,0.7915,0.959
0.100000,-0.2167,0.5016,0.7814,0.954
0.101000,-0.2191,0.5118,0.7710,0.951
0.101000,-0.2182,0.5106,0.7666,0.947
0.101000,-0.2064,0.5084,0.7626,0.940
0.107000,-0.1857,0.5045,0.7626,0.933
0.112000,-0.1598,0.5143,0.7570,0.929
0.117000,-0.1276,0.5338,0.7568,0.935
0.121000,-0.1000,0.5587,0.7634,0.951
0.126000,-0.0624,0.5846,0.7746,0.972
0.131000,-0.0328,0.6031,0.7785,0.985
0.138000,-0.0087,0.6129,0.7861,0.997
0.140000,-0.0021,0.6127,0.7998,1.007
0.146000,-0.0050,0.6163,0.8171,1.023
0.154000,-0.0153,0.6219,0.8342,1.041
0.156000,-0.0275,0.6227,0.8462,1.051
0.160000,-0.0453,0.6178,0.8545,1.055
0.165000,-0.0646,0.6029,0.8532,1.047
0.170000,-0.1310,0.5956,0.8186,1.021
0.175000,-0.1979,0.5853,0.7590,0.979
0.209000,-0.1835,0.5585,0.7397,0.945
0.209000,-0.1539,0.5409,0.7458,0.934
0.209000,-0.1024,0.5323,0.7502,0.926
0.210000,-0.0590,0.5306,0.7592,0.928
0.210000,-0.0297,0.5389,0.7641,0.936
0.210000,0.0131,0.5487,0.7697,0.945
0.210000,0.0477,0.5575,0.7746,0.956
0.218000,0.0612,0.5692,0.7705,0.960
0.219000,0.0831,0.5736,0.7729,0.966
0.224000,0.0995,0.5712,0.7602,0.956
0.228000,0.1110,0.5614,0.7412,0.936
0.235000,0.1232,0.5536,0.7250,0.920
0.239000,0.1232,0.5443,0.7226,0.913
0.244000,0.1234,0.5355,0.7187,0.905
0.256000,0.1227,0.5299,0.7170,0.900
0.257000,0.1141,0.5204,0.7170,0.893
0.258000,0.1034,0.5160,0.7226,0.894
0.264000,0.0829,0.5148,0.7287,0.896
0.269000,0.0563,0.5113,0.7453,0.906
0.272000,0.0223,0.5111,0.7626,0.918
0.277000,-0.0626,0.5143,0.8542,0.999
0.300000,-0.1671,0.5340,0.9970,1.143
0.300000,-0.1659,0.5563,0.9890,1.147
0.301000,-0.1366,0.5626,0.9314,1.097
0.301000,-0.1496,0.5648,0.9353,1.103
0.302000,-0.1977,0.5690,0.9841,1.154
0.306000,-0.2326,0.5802,1.0412,1.214
0.311000,-0.2472,0.5926,1.0732,1.251
0.316000,-0.2538,0.6005,1.0835,1.264
0.321000,-0.2511,0.6063,1.0942,1.276
0.326000,-0.2541,0.6061,1.1006,1.282
0.331000,-0.2687,0.5941,1.1189,1.295
0.336000,-0.2926,0.5707,1.1421,1.310
0.341000,-0.3153,0.5372,1.1665,1.322
0.346000,-0.3090,0.4908,1.1902,1.324
0.351000,-0.2628,0.4254,1.1980,1.298
0.355000,-0.2016,0.3614,1.2104,1.279
0.360000,-0.1561,0.2979,1.2295,1.275
0.372000,-0.1300,0.2501,1.2507,1.282
0.373000,-0.1244,0.2161,1.2605,1.285
0.377000,-0.1320,0.2027,1.2805,1.303
0.384000,-0.1510,0.1968,1.3030,1.326
0.384000,-0.1718,0.2008,1.3223,1.348
0.389000,-0.1886,0.2039,1.3279,1.357
0.395000,-0.1796,0.2088,1.3259,1.354
0.421000,-0.1527,0.2203,1.3213,1.348
0.421000,-0.1447,0.2125,1.2808,1.306
0.422000,-0.1395,0.2125,1.2334,1.259
0.422000,-0.1276,0.2132,1.1836,1.209
0.422000,-0.1203,0.2252,1.0947,1.124
0.428000,-0.1085,0.2398,0.9656,1.001
0.428000,-0.0751,0.2606,0.8833,0.924
0.433000,-0.0372,0.2909,0.8440,0.893
0.438000,-0.0040,0.3231,0.7888,0.852
0.443000,0.0345,0.3575,0.7067,0.793
0.448000,0.1110,0.4002,0.6208,0.747
0.453000,0.2311,0.4527,0.5190,0.726
0.458000,0.2409,0.5016,0.5051,0.751
0.462000,0.2401,0.5543,0.5019,0.785
0.474000,0.2753,0.5987,0.4589,0.803
0.475000,0.3078,0.6312,0.4015,0.809
0.479000,0.3361,0.6632,0.3886,0.839
0.485000,0.3710,0.7030,0.3800,0.881
