time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-1.1375,1.0447,-3.5400,3.862
0.003000,-0.9465,1.2484,-3.5940,3.921
0.005000,-0.7168,1.4577,-3.4863,3.846
0.015000,-0.4709,1.5574,-3.1621,3.556
0.016000,-0.3059,1.5566,-2.6881,3.121
0.020000,-0.2000,1.4466,-2.1787,2.623
0.025000,-0.0574,1.4367,-1.7794,2.288
0.081000,-0.0099,1.4064,-1.3653,1.960
0.081000,-0.0444,1.3979,-1.0104,1.725
0.082000,-0.1553,1.3790,-0.7788,1.591
0.082000,-0.1577,1.3114,-0.7277,1.508
0.082000,-0.0145,1.2189,-0.7446,1.428
0.082000,0.1162,1.1211,-0.9109,1.449
0.083000,0.3115,1.0116,-1.1766,1.583
0.083000,0.2251,0.9965,-1.4391,1.765
0.083000,-0.0091,1.0458,-1.6558,1.958
0.084000,-0.4296,1.1387,-1.9441,2.294
0.084000,-0.6969,1.1779,-2.2492,2.633
0.084000,-0.8890,1.2211,-2.5138,2.933
0.089000,-1.0939,1.1781,-2.8603,3.281
0.101000,-1.0757,1.0282,-3.2313,3.557
0.102000,-0.9932,0.8749,-3.5313,3.771
0.103000,-0.8882,0.7432,-3.7080,3.885
0.108000,-0.3126,0.4752,-4.1271,4.166
0.121000,-1.2709,0.7309,-3.1367,3.462
0.121000,-1.2204,0.9245,-3.2210,3.566
0.123000,-0.6170,0.9119,-3.4273,3.600
0.200000,-0.2678,0.8299,-3.1841,3.301
0.200000,-0.0102,0.6732,-2.9529,3.029
0.200000,0.2779,0.4742,-2.8746,2.927
0.201000,0.4844,0.3063,-2.7836,2.842
0.201000,0.6634,0.1523,-2.8092,2.890
0.201000,0.8014,-0.0257,-3.0493,3.153
0.202000,0.8483,-0.4227,-3.2486,3.384
0.202000,0.9707,-0.9044,-3.2134,3.477
0.202000,1.5499,-1.5347,-3.4140,4.051
0.203000,1.3638,-1.8184,-3.1705,3.901
0.203000,1.0406,-1.9458,-3.2357,3.916
0.204000,1.0857,-2.1112,-3.8077,4.487
0.204000,1.3548,-2.1999,-4.5177,5.204
0.205000,2.1849,-2.0940,-4.8156,5.688
0.205000,2.5729,-2.1621,-5.3679,6.333
0.205000,3.4829,-2.0459,-6.5436,7.690
0.206000,4.9510,-1.8600,-7.5162,9.190
0.215000,4.9575,-2.6748,-6.8821,8.893
0.216000,4.9630,-3.4571,-7.2508,9.442
0.220000,4.8807,-4.0024,-7.9111,10.121
0.225000,4.6452,-4.3371,-8.4512,10.574
0.278000,4.5311,-4.4544,-9.0726,11.076
0.279000,4.6412,-4.5769,-9.6612,11.654
0.279000,4.8168,-4.8631,-10.0904,12.193
0.280000,4.9911,-5.3741,-10.4567,12.772
0.281000,4.9091,-5.9794,-10.3577,12.928
0.281000,4.5775,-6.7550,-10.1656,13.035
0.282000,4.2335,-7.5013,-9.9820,13.185
0.282000,3.9202,-8.2343,-10.5704,13.961
0.283000,3.7496,-9.0416,-11.3025,14.952
0.284000,3.5322,-9.8901,-11.6011,15.649
