time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-1.5847,-0.5413,0.1149,1.679
0.003000,-1.7571,-0.3628,-0.2415,1.810
0.004000,-1.8058,-0.2716,-0.5858,1.918
0.008000,-1.7866,-0.1980,-0.9587,2.037
0.013000,-1.6761,-0.1848,-1.1880,2.063
0.018000,-1.5317,-0.1363,-1.2930,2.009
0.027000,-1.3304,-0.1366,-1.2711,1.845
0.028000,-1.2203,-0.1096,-1.2298,1.736
0.033000,-1.1344,-0.0656,-1.1950,1.649
0.037000,-1.0896,-0.0623,-1.1331,1.573
0.049000,-0.9709,-0.0811,-1.1083,1.476
0.050000,-0.8456,-0.1507,-1.0369,1.346
0.052000,-0.6802,-0.1880,-1.0358,1.253
0.060000,-0.5579,-0.2261,-1.0693,1.227
0.062000,-0.4570,-0.2292,-1.1518,1.260
0.067000,-0.4363,-0.2639,-1.2430,1.344
0.071000,-0.4689,-0.2748,-1.3337,1.440
0.077000,-0.5260,-0.2735,-1.3167,1.444
0.081000,-0.5374,-0.2479,-1.2569,1.389
0.086000,-0.4961,-0.2600,-1.1735,1.300
0.092000,-0.4258,-0.3028,-1.1190,1.235
0.097000,-0.4269,-0.3264,-1.0982,1.223
0.102000,-0.4420,-0.3448,-1.2068,1.331
0.107000,-0.4830,-0.3486,-1.2867,1.418
0.111000,-0.5381,-0.3208,-1.3548,1.493
0.116000,-0.5525,-0.3069,-1.4661,1.597
0.120000,-0.5578,-0.2447,-1.5820,1.695
0.126000,-0.5448,-0.2393,-1.7550,1.853
0.130000,-0.5540,-0.2476,-1.8156,1.914
0.135000,-0.5880,-0.3482,-1.8402,1.963
0.148000,-0.8280,-0.5990,-1.3786,1.716
0.149000,-0.6629,-0.4588,-1.6482,1.835
0.150000,-0.5371,-0.3552,-2.1070,2.203
0.154000,-0.4403,-0.3679,-2.3981,2.466
0.160000,-0.1988,-0.4506,-2.6255,2.671
0.165000,0.1477,-0.5053,-2.6965,2.747
0.169000,0.5442,-0.5534,-2.6951,2.805
0.187000,0.9140,-0.4709,-2.6977,2.887
0.188000,1.2813,-0.2891,-2.6446,2.953
0.189000,1.5341,-0.0944,-2.5479,2.976
0.190000,1.6820,0.0263,-2.5076,3.020
0.196000,1.7086,-0.1998,-2.8293,3.311
0.199000,1.5361,-0.1650,-2.9268,3.310
0.204000,1.2838,-0.0866,-3.0009,3.265
0.209000,0.9851,-0.0266,-3.2048,3.353
0.213000,0.6207,-0.0825,-3.5407,3.596
0.218000,0.3426,-0.2344,-3.8006,3.823
0.231000,0.1858,-0.4841,-3.9626,3.996
0.232000,0.0561,-0.7571,-4.0699,4.140
0.233000,-0.0666,-1.0799,-4.1410,4.280
