time,gFx,gFy,gFz,TgF
0.001000,0.4026,0.3730,0.5019,0.744
0.002000,0.4509,0.3611,0.4968,0.762
0.004000,0.4910,0.3381,0.4921,0.773
0.008000,0.5217,0.3144,0.4816,0.777
0.013000,0.5381,0.2925,0.4736,0.774
0.019000,0.5442,0.2717,0.4584,0.762
0.023000,0.5347,0.2478,0.4338,0.732
0.028000,0.5234,0.2192,0.4086,0.699
0.033000,0.5166,0.1928,0.3722,0.665
0.040000,0.5129,0.1660,0.3451,0.640
0.043000,0.5127,0.1352,0.3227,0.621
0.047000,0.5176,0.1042,0.3024,0.608
0.064000,0.5256,0.0793,0.2831,0.602
0.065000,0.5357,0.0576,0.2553,0.596
0.065000,0.5452,0.0420,0.2353,0.595
0.067000,0.5513,0.0224,0.2123,0.591
0.074000,0.5557,-0.0030,0.1847,0.586
0.077000,0.5554,-0.0401,0.1518,0.577
0.082000,0.5481,-0.0606,0.0976,0.560
0.087000,0.5352,-0.0779,0.0285,0.542
0.092000,0.5117,-0.0918,-0.0580,0.523
0.096000,0.4924,-0.1199,-0.1581,0.531
0.101000,0.4792,-0.1651,-0.2533,0.567
0.107000,0.4763,-0.2071,-0.3522,0.628
0.112000,0.4778,-0.2423,-0.4381,0.692
0.116000,0.4875,-0.2694,-0.5173,0.760
0.122000,0.5857,-0.3033,-0.5866,0.883
0.126000,0.6931,-0.3028,-0.6564,1.002
0.131000,0.6790,-0.2667,-0.6403,0.971
0.136000,0.6590,-0.2418,-0.5947,0.920
0.141000,0.7053,-0.2371,-0.5856,0.947
0.146000,0.7842,-0.2635,-0.6379,1.045
0.150000,0.8435,-0.3226,-0.6738,1.127
0.163000,0.8995,-0.4029,-0.6696,1.192
0.163000,0.9375,-0.4952,-0.6535,1.246
0.165000,0.9854,-0.5843,-0.6088,1.297
0.171000,1.0198,-0.6612,-0.5260,1.324
0.177000,0.9654,-0.7198,-0.4635,1.290
0.179000,0.8492,-0.7682,-0.3839,1.208
0.184000,0.7310,-0.8195,-0.2997,1.138
0.209000,0.6760,-0.8878,-0.1996,1.134
0.209000,0.7241,-0.9752,-0.0883,1.218
0.210000,0.8079,-1.0756,0.0541,1.346
0.210000,0.8943,-1.1564,0.2489,1.483
0.211000,0.9712,-1.1845,0.4543,1.598
0.216000,1.0337,-1.1823,0.6528,1.701
0.218000,1.0545,-1.1903,0.8838,1.819
0.228000,1.0926,-1.1598,0.9812,1.871
0.229000,1.1226,-1.1376,0.9568,1.863
0.233000,1.1133,-1.1291,0.9018,1.824
0.251000,1.0711,-1.1322,0.8369,1.769
0.251000,1.0044,-1.1757,0.7609,1.723
0.251000,0.9410,-1.2140,0.6552,1.670
0.252000,0.8826,-1.2338,0.5436,1.611
0.266000,0.8335,-1.2472,0.4264,1.560
0.268000,0.8006,-1.2680,0.3200,1.533
0.268000,0.7957,-1.2922,0.2147,1.533
0.283000,0.8257,-1.3239,0.1293,1.566
0.284000,0.8855,-1.3625,0.0609,1.626
0.284000,0.9437,-1.4018,0.0180,1.690
0.288000,0.9993,-1.4355,-0.0128,1.749
0.326000,1.0518,-1.4580,-0.0372,1.798
0.326000,1.1072,-1.4670,-0.0404,1.838
0.327000,1.1600,-1.4565,-0.0072,1.862
0.327000,1.1861,-1.4387,0.0094,1.865
0.327000,1.2144,-1.4169,0.0013,1.866
0.328000,1.2523,-1.3950,-0.0214,1.875
0.328000,1.3097,-1.3788,-0.0338,1.902
0.329000,1.3871,-1.3737,-0.0135,1.952
0.338000,1.4850,-1.3774,0.0729,2.027
