time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,-0.2832,3.5363,0.2818,3.559
0.002000,0.1087,3.6424,0.4984,3.678
0.077000,0.4972,3.6262,0.5965,3.708
0.078000,0.7426,3.6195,0.5713,3.739
0.078000,0.8432,3.6558,0.4995,3.785
0.079000,0.8767,3.7049,0.4165,3.830
0.079000,0.8657,3.6718,0.2911,3.784
0.079000,0.8299,3.6149,0.1253,3.711
0.080000,0.7725,3.5375,-0.0501,3.621
0.080000,0.7796,3.4138,-0.2257,3.509
0.080000,0.7013,3.2828,-0.4378,3.385
0.081000,0.7079,3.1453,-0.6125,3.282
0.081000,0.6916,3.0251,-0.7453,3.191
0.081000,0.7502,2.8821,-0.8888,3.108
0.081000,0.7400,2.7137,-0.9499,2.969
0.082000,0.7922,2.5225,-0.9954,2.825
0.082000,0.8011,2.3180,-0.9968,2.647
0.082000,0.7712,2.1526,-0.9827,2.489
0.088000,0.7594,1.9395,-1.0268,2.322
0.174000,0.8229,1.7025,-1.1315,2.204
0.175000,0.8821,1.4338,-1.3010,2.128
0.175000,0.9366,1.2243,-1.5210,2.166
0.175000,1.0554,1.0357,-1.8009,2.330
0.176000,1.1454,0.7916,-2.0784,2.502
0.176000,1.1829,0.6020,-2.3084,2.663
0.176000,1.1293,0.3428,-2.5361,2.797
0.177000,1.0517,0.0879,-2.6684,2.869
0.177000,1.0236,-0.1721,-2.7410,2.931
0.178000,1.1140,-0.3323,-2.7899,3.022
0.178000,1.2435,-0.4748,-2.8505,3.146
0.178000,1.4855,-0.5835,-2.8818,3.294
0.178000,1.8152,-0.7237,-2.8956,3.493
0.179000,2.2357,-0.9653,-2.9295,3.809
0.179000,2.5159,-1.2395,-3.0115,4.115
0.180000,2.5372,-1.4723,-3.2462,4.375
0.180000,2.4553,-1.6297,-3.6138,4.663
0.181000,2.3734,-1.6055,-3.9465,4.877
0.181000,2.3405,-1.5276,-4.1868,5.034
0.182000,2.3301,-1.4159,-4.3276,5.115
0.186000,2.2690,-1.4438,-4.3001,5.072
0.198000,2.4112,-1.7029,-4.1809,5.118
0.199000,2.6559,-2.1637,-4.0638,5.315
0.201000,2.8686,-2.7822,-3.9299,5.605
0.293000,2.8644,-3.3423,-3.7605,5.789
0.293000,2.7873,-3.8198,-3.4964,5.881
0.294000,2.9046,-4.2022,-3.3575,6.113
0.294000,4.7696,-3.5679,-3.6800,7.002
0.295000,4.0880,-5.6025,-2.6293,7.417
0.295000,3.7028,-6.2503,-3.5443,8.083
0.296000,1.9812,-6.9777,-3.4137,8.017
0.296000,0.7855,-8.2926,-3.6287,9.086
0.296000,-0.4424,-9.1329,-4.5095,10.195
0.297000,-1.8216,-9.5640,-5.0191,10.954
0.298000,-3.4297,-9.9063,-4.6282,11.459
0.298000,-4.6863,-10.1071,-3.2093,11.594
0.299000,-4.5124,-10.4466,-0.7538,11.404
0.299000,-3.0860,-11.2765,1.0350,11.737
0.300000,-1.4102,-12.2540,1.2738,12.400
0.300000,-0.2651,-12.9255,0.4486,12.936
0.301000,0.0611,-13.2009,-0.7231,13.221
0.301000,0.1311,-13.4063,-2.2411,13.593
0.302000,0.1863,-13.6752,-4.0776,14.271
0.302000,0.5674,-14.0123,-6.2946,15.372
0.309000,1.5033,-14.4961,-8.1321,16.689
0.310000,1.8120,-14.9794,-10.4357,18.346
0.392000,0.9985,-15.0010,-11.4254,18.883
0.393000,0.2781,-15.3188,-11.5235,19.171
0.393000,0.3979,-16.0039,-11.9210,19.960
0.394000,0.4844,-16.7026,-12.4566,20.842
0.395000,0.2333,-17.3917,-12.7514,21.567
0.395000,-0.3287,-17.8742,-12.6029,21.873
0.396000,-0.8625,-18.3951,-12.0733,22.020
0.396000,-1.0680,-18.9492,-11.4379,22.159
0.397000,-1.1326,-19.5902,-10.4625,22.238
0.398000,-1.0596,-20.2910,-9.2607,22.330
0.399000,-1.0885,-21.0260,-7.9434,22.503
0.399000,-1.2316,-21.8109,-6.6474,22.835
0.400000,-1.5097,-22.5548,-5.3738,23.235
0.400000,-1.8906,-23.2606,-3.9655,23.672
0.401000,-2.2224,-23.6753,-2.3754,23.898
0.402000,-2.3148,-24.0304,-0.8114,24.155
0.402000,-2.0420,-24.4598,0.4377,24.549
0.403000,-1.6316,-24.7979,1.4656,24.895
0.403000,-1.1556,-24.8752,2.3380,25.012
0.477000,-0.6083,-24.9330,3.0751,25.129
0.478000,0.0854,-25.1551,3.7455,25.433
0.479000,1.0862,-25.3958,4.4457,25.805
0.479000,2.4710,-25.5705,5.4024,26.252
