time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.0110,-0.0057,-0.0097,0.016
0.002000,0.0109,0.0157,-0.0002,0.019
0.003000,-0.0011,-0.0224,-0.0357,0.042
0.005000,0.0107,-0.0150,0.0025,0.019
0.010000,-0.0037,-0.0079,0.0144,0.017
0.019000,-0.0085,0.0230,0.0024,0.025
0.020000,0.0011,0.0038,0.0047,0.006
0.025000,-0.0037,0.0086,0.0094,0.013
0.030000,-0.0202,-0.0128,0.0093,0.026
0.036000,0.0227,0.0133,-0.0026,0.026
0.040000,0.0106,-0.0034,-0.0026,0.011
0.044000,-0.0083,0.0274,0.0046,0.029
0.051000,-0.0178,0.0058,0.0045,0.019
0.055000,-0.0154,-0.0132,-0.0002,0.020
0.059000,0.0226,-0.0061,-0.0121,0.026
0.064000,0.0177,-0.0132,-0.0191,0.029
0.069000,-0.0086,0.0154,0.0261,0.032
0.074000,0.0080,-0.0156,0.0022,0.018
0.079000,0.0007,-0.0084,0.0116,0.014
0.089000,-0.0301,-0.0178,0.0163,0.039
0.089000,0.0129,-0.0057,-0.0076,0.016
0.093000,-0.0062,-0.0270,-0.0123,0.030
0.099000,-0.0014,0.0135,-0.0003,0.014
0.103000,-0.0108,-0.0008,0.0045,0.012
0.108000,-0.0013,0.0039,-0.0003,0.004
0.113000,-0.0249,0.0158,0.0187,0.035
0.129000,0.0015,0.0157,0.0114,0.019
0.129000,-0.0032,0.0085,0.0042,0.010
0.129000,-0.0103,-0.0082,0.0089,0.016
0.135000,-0.0054,0.0038,0.0112,0.013
0.137000,-0.0149,-0.0058,0.0016,0.016
0.142000,-0.0124,0.0180,0.0229,0.032
0.147000,0.0090,0.0013,0.0109,0.014
0.152000,-0.0007,-0.0225,-0.0248,0.034
0.157000,-0.0078,-0.0081,0.0134,0.018
0.161000,-0.0055,0.0109,0.0180,0.022
0.173000,-0.0339,-0.0318,-0.0011,0.047
0.174000,-0.0171,0.0041,-0.0059,0.019
0.176000,0.0164,-0.0054,-0.0034,0.018
