time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.1571,-0.5721,-0.5139,0.785
0.002000,0.0084,-0.7797,-0.1681,0.798
0.003000,-0.1106,-1.0097,0.0379,1.016
0.049000,-0.1305,-1.2215,0.1487,1.237
0.049000,-0.2045,-1.5083,0.1777,1.532
0.049000,-0.3946,-1.8681,0.1222,1.913
0.050000,-0.6194,-2.1213,-0.0532,2.211
0.050000,-0.7952,-2.3444,-0.2453,2.488
0.051000,-0.9724,-2.4708,-0.5636,2.714
0.051000,-1.2775,-2.5650,-1.0409,3.049
0.051000,-1.5935,-2.6343,-1.5542,3.449
0.052000,-1.8651,-2.7762,-2.1140,3.957
0.053000,-2.0089,-2.9165,-2.6120,4.400
0.057000,-2.0464,-3.0359,-3.0159,4.743
0.062000,-1.9779,-3.1056,-3.2732,4.927
0.066000,-1.9734,-3.1358,-3.3834,5.017
0.083000,-2.0211,-3.1481,-3.3727,5.037
0.085000,-2.0517,-3.1617,-3.2696,4.990
0.085000,-1.7665,-3.2006,-3.2295,4.878
0.088000,-1.5271,-3.3033,-3.0776,4.766
0.091000,-1.8784,-3.4175,-2.7477,4.771
0.096000,-2.1788,-3.4855,-2.5568,4.841
0.101000,-2.2318,-3.5330,-2.5414,4.891
0.142000,-2.1022,-3.5956,-2.6562,4.940
0.144000,-1.8474,-3.7474,-2.7825,5.020
0.144000,-1.6852,-3.8931,-2.9705,5.179
0.145000,-1.5797,-4.0041,-3.2325,5.383
0.145000,-1.6456,-4.1285,-3.5547,5.691
0.146000,-1.8492,-4.1873,-3.9042,6.016
0.146000,-2.0610,-4.1876,-4.1207,6.226
0.147000,-2.3357,-4.1385,-4.1749,6.326
0.147000,-2.6060,-4.0467,-4.1593,6.361
0.151000,-2.8384,-4.0124,-4.0967,6.398
0.161000,-3.0420,-3.9610,-4.0027,6.400
0.162000,-3.1284,-3.9257,-3.8938,6.353
0.164000,-3.1569,-3.9154,-3.7290,6.261
0.169000,-3.2159,-3.8921,-3.5421,6.167
0.180000,-3.2313,-3.8771,-3.3856,6.077
0.181000,-3.2648,-3.7820,-3.2404,5.955
0.184000,-3.2877,-3.6930,-3.1469,5.861
0.196000,-3.1942,-3.5615,-3.0332,5.665
0.197000,-3.0514,-3.3666,-2.9402,5.412
0.199000,-2.8926,-3.1466,-2.8918,5.161
0.214000,-2.7610,-2.9688,-2.8832,4.975
0.215000,-2.6517,-2.8384,-2.8239,4.802
0.215000,-2.5041,-2.6421,-2.6493,4.502
0.218000,-2.2732,-2.4263,-2.3428,4.067
0.223000,-1.9044,-2.2346,-1.9333,3.515
0.228000,-1.4198,-1.9913,-1.3609,2.799
0.232000,-0.8583,-1.7355,-0.7308,2.069
0.274000,-0.1544,-1.4948,-0.0150,1.503
0.275000,0.6324,-1.1424,0.7602,1.511
0.275000,1.4982,-0.6943,1.3973,2.163
0.276000,2.3514,-0.2513,1.6798,2.901
0.276000,3.0191,0.1285,1.5997,3.419
0.277000,3.4291,0.3228,1.3162,3.687
0.277000,3.7328,0.4472,0.9489,3.877
0.278000,3.8503,0.5155,0.6218,3.934
0.278000,3.8699,0.6209,0.3065,3.931
0.283000,3.8827,0.8136,0.1737,3.971
0.295000,3.8072,1.1200,0.0827,3.969
0.295000,3.6999,1.4404,0.0376,3.971
0.296000,3.5724,1.8010,-0.0017,4.001
0.301000,3.4345,1.9772,-0.0060,3.963
0.312000,3.3461,2.0768,0.0301,3.938
0.313000,3.2876,2.0041,0.1444,3.853
0.316000,3.1695,1.9801,0.3235,3.751
0.370000,3.1564,1.9470,0.6273,3.761
0.371000,3.2271,1.9839,1.0963,3.944
0.371000,3.4510,2.1076,1.6439,4.365
0.372000,3.7531,2.2652,2.2856,4.944
0.372000,3.9692,2.4976,2.9135,5.521
0.373000,4.1031,2.8234,3.5865,6.138
0.373000,4.2864,3.2045,4.3252,6.881
0.374000,4.4618,3.5766,5.0783,7.648
0.374000,4.6128,3.8733,5.8848,8.421
0.375000,4.8636,4.0472,6.5851,9.132
0.375000,5.2132,4.2502,7.2002,9.853
0.376000,5.5728,4.4324,7.4845,10.331
0.383000,5.8373,4.6947,7.4183,10.543
0.384000,6.1435,4.9630,7.1047,10.623
0.428000,6.4746,5.1705,6.6521,10.626
0.429000,6.9014,5.3868,6.1940,10.724
0.429000,7.3973,5.5782,5.7983,10.930
0.430000,7.9937,5.8139,5.5355,11.329
0.430000,8.7859,6.0957,5.3208,11.944
0.431000,9.7656,6.4804,5.1668,12.809
0.431000,10.9062,6.9650,5.1077,13.912
0.432000,12.1069,7.4001,5.0980,15.077
0.432000,13.2295,7.8517,5.0902,16.204
0.433000,14.2837,8.2521,5.1367,17.277
0.447000,15.0854,8.6696,5.2139,18.164
0.448000,15.6266,8.9915,5.2864,18.788
0.449000,15.8914,9.2817,5.3569,19.167
0.452000,15.8815,9.5686,5.5359,19.350
0.505000,15.6709,9.7064,5.7972,19.324
0.506000,15.4172,9.7790,6.1404,19.262
0.507000,15.2359,9.6769,6.5170,19.190
0.508000,15.1511,9.4459,6.9336,19.153
0.508000,15.0003,9.0507,7.4850,19.051
0.509000,14.8056,8.5417,8.1010,18.915
0.509000,14.5530,8.0246,8.5817,18.704
0.510000,14.1688,7.5284,8.9523,18.373
0.511000,13.6931,6.9939,9.2162,17.926
0.511000,13.2224,6.5198,9.3441,17.454
0.512000,12.7600,6.0798,9.2900,16.914
0.512000,12.3736,5.6812,9.1447,16.401
0.518000,11.9851,5.3385,8.8777,15.842
0.532000,11.6207,4.9604,8.4915,15.223
0.534000,11.3410,4.5972,8.1497,14.703
0.535000,11.1609,4.2034,7.7263,14.210
0.536000,11.1686,3.8360,7.3270,13.897
0.553000,11.2332,3.4040,6.8764,13.604
0.555000,11.2863,2.8684,6.3413,13.260
0.556000,11.2137,2.2479,5.8166,12.831
0.557000,11.0465,1.6332,5.3726,12.392
0.610000,10.9309,1.1028,5.0413,12.088
0.610000,10.7963,0.6163,4.7832,11.825
0.611000,10.6582,0.0986,4.6628,11.634
0.611000,10.5533,-0.4429,4.6520,11.542
0.612000,10.4701,-0.9435,4.6482,11.494
0.612000,10.3565,-1.4915,4.6803,11.462
0.613000,10.4096,-2.0504,4.7081,11.607
0.613000,10.4938,-2.5618,4.7809,11.813
0.614000,10.6530,-3.1446,4.8506,12.120
0.615000,10.9326,-3.7775,5.0080,12.604
0.615000,11.2850,-4.4435,5.2335,13.209
0.616000,11.8042,-5.1493,5.4005,13.965
0.621000,12.3257,-5.9325,5.6392,14.796
0.636000,12.8745,-6.8331,5.8919,15.721
0.637000,13.3786,-7.7485,6.1789,16.649
0.637000,13.6521,-8.5737,6.4222,17.353
0.638000,13.7631,-9.3130,6.5755,17.872
0.653000,13.6654,-9.9229,6.6393,18.146
0.654000,13.3891,-10.3883,6.6467,18.203
0.655000,12.9902,-10.7667,6.5968,18.116
0.702000,12.5842,-11.0602,6.5255,17.980
0.703000,12.0821,-11.3055,6.4738,17.768
0.703000,11.5811,-11.4256,6.3448,17.462
0.704000,11.0206,-11.4980,6.2637,17.114
0.704000,10.4753,-11.5080,6.2277,16.762
0.705000,9.9197,-11.5174,6.1817,16.409
0.706000,9.4281,-11.4688,6.1885,16.085
0.707000,8.9945,-11.4942,6.2062,15.860
0.707000,8.7540,-11.6343,6.1508,15.806
0.708000,8.7501,-11.8609,5.9629,15.900
0.708000,8.7623,-12.2056,5.7351,16.082
0.713000,8.7783,-12.5826,5.3806,16.258
0.716000,8.8937,-12.8502,5.0597,16.426
0.720000,9.0402,-13.0405,4.7595,16.566
0.727000,9.1844,-13.3062,4.4201,16.761
0.730000,9.2515,-13.6460,4.0979,16.988
0.735000,9.2438,-14.0604,3.6728,17.223
0.744000,9.1491,-14.4388,3.2429,17.398
0.745000,8.9476,-14.8205,2.7510,17.529
0.749000,8.6207,-15.1828,2.2207,17.600
0.754000,8.1566,-15.5657,1.5791,17.644
0.760000,7.5867,-15.9019,0.8918,17.642
0.766000,6.9953,-16.2049,0.1792,17.651
0.769000,6.3487,-16.4823,-0.4987,17.670
0.806000,5.6405,-16.6855,-1.0890,17.647
0.807000,4.8350,-16.8774,-1.6129,17.630
0.808000,4.0401,-17.0661,-2.0919,17.662
0.808000,3.2775,-17.2407,-2.6245,17.745
0.809000,2.5450,-17.3157,-3.0199,17.760
0.810000,1.7783,-17.3161,-3.4158,17.739
0.810000,1.1115,-17.3077,-3.6701,17.727
0.811000,0.4634,-17.2582,-3.8921,17.698
0.814000,-0.1543,-17.1980,-4.0435,17.668
0.818000,-0.7603,-17.0346,-4.1586,17.551
0.823000,-1.3142,-16.8658,-4.2471,17.442
0.828000,-1.8782,-16.7054,-4.3228,17.358
0.833000,-2.4048,-16.5338,-4.4304,17.285
0.838000,-2.8442,-16.3932,-4.4811,17.231
0.846000,-3.2547,-16.2434,-4.4340,17.149
0.849000,-3.6027,-16.0731,-4.2797,17.019
0.852000,-3.9271,-15.9501,-4.0152,16.910
0.909000,-4.2623,-15.6973,-3.6751,16.676
0.911000,-4.5250,-15.3917,-3.3118,16.381
0.912000,-4.7596,-15.1043,-2.8610,16.093
0.913000,-5.0060,-14.7834,-2.4768,15.803
0.914000,-5.3178,-14.5187,-2.0776,15.601
0.915000,-5.5950,-14.3369,-1.7274,15.487
0.915000,-5.8525,-14.1881,-1.4735,15.418
0.916000,-6.1340,-14.0476,-1.2940,15.383
0.917000,-6.4128,-13.9817,-1.1789,15.427
0.918000,-6.6852,-13.9606,-1.2305,15.528
0.918000,-7.0140,-13.8741,-1.3071,15.601
0.919000,-7.3400,-13.8058,-1.4106,15.699
0.920000,-7.6881,-13.6473,-1.5925,15.745
0.921000,-7.9839,-13.4290,-1.7291,15.718
0.925000,-8.3362,-13.2312,-1.9318,15.757
0.930000,-8.6307,-12.9892,-2.1447,15.742
0.935000,-8.7913,-12.7486,-2.3915,15.670
0.941000,-8.8903,-12.5305,-2.6107,15.584
0.945000,-8.8746,-12.2619,-2.7548,15.385
0.949000,-8.7755,-11.9595,-2.7375,15.084
0.955000,-8.5304,-11.6145,-2.5484,14.634
0.963000,-8.2821,-11.3115,-2.3110,14.209
0.965000,-8.0802,-11.0802,-2.0260,13.862
0.969000,-7.9363,-10.8946,-1.7546,13.592
1.022000,-7.8304,-10.7892,-1.5158,13.417
1.024000,-7.7841,-10.7736,-1.2603,13.351
1.025000,-7.7948,-10.6566,-1.0986,13.249
1.025000,-7.9245,-10.5318,-0.9407,13.214
1.026000,-8.0389,-10.4236,-0.8199,13.189
1.027000,-8.2150,-10.3341,-0.7960,13.225
1.028000,-8.4240,-10.2822,-0.7639,13.314
1.029000,-8.6326,-10.2297,-0.8285,13.411
1.030000,-8.8150,-10.2286,-0.9231,13.534
1.030000,-9.0096,-10.2382,-1.0378,13.677
1.031000,-9.1928,-10.3228,-1.1771,13.873
1.032000,-9.2736,-10.2862,-1.2472,13.905
1.033000,-9.3193,-10.2242,-1.3264,13.898
1.037000,-9.3584,-10.1274,-1.3876,13.859
1.043000,-9.3048,-10.0175,-1.4154,13.745
1.048000,-9.2015,-9.8874,-1.5044,13.590
1.052000,-9.0988,-9.8114,-1.6394,13.481
1.057000,-9.0177,-9.8040,-1.8391,13.447
1.062000,-9.0179,-9.8391,-2.0455,13.502
1.067000,-9.0753,-9.9476,-2.2180,13.647
1.071000,-9.0612,-10.0620,-2.4637,13.763
